characterName,listFile,analysisFile
tragedians,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_3_list_cleaned.txt,
gertrude,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_6_list_cleaned.txt,
guildenstern,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_1_list_cleaned.txt,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_1_analysis_cleaned.txt
rosencrantz,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_0_list_cleaned.txt,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_0_analysis_cleaned.txt
ophelia,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_8_list_cleaned.txt,
laertes,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_9_list_cleaned.txt,
claudius,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_5_list_cleaned.txt,
hamlet,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_4_list_cleaned.txt,
polonius,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_7_list_cleaned.txt,
the player,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_2_list_cleaned.txt,Books/Rosencrantz_and_Guildenstern_Are_Dead/character_2_analysis_cleaned.txt
