characterName,listFile,analysisFile
a nubian,Books/Salomé/character_10_list.txt,
the soldiers,Books/Salomé/character_5_list.txt,
herod antipas,Books/Salomé/character_1_list.txt,
the slaves of salome,Books/Salomé/character_12_list.txt,
the young syrian,Books/Salomé/character_4_list.txt,
salome,Books/Salomé/character_0_list.txt,
herodias,Books/Salomé/character_3_list.txt,Books/Salomé/character_3_analysis.txt
tigellinus,Books/Salomé/character_8_list.txt,
a cappadocian,Books/Salomé/character_9_list.txt,
jokanaan,Books/Salomé/character_2_list.txt,Books/Salomé/character_2_analysis.txt
naaman,Books/Salomé/character_11_list.txt,
the page,Books/Salomé/character_6_list.txt,
jews and nazarenes,Books/Salomé/character_7_list.txt,
