characterName,listFile,analysisFile
mrs. ferrars,Books/Sense_and_Sensibility/character_8_list_cleaned.txt,
mr. thomas palmer,Books/Sense_and_Sensibility/character_15_list_cleaned.txt,
sir john middleton,Books/Sense_and_Sensibility/character_14_list_cleaned.txt,
robert ferrars,Books/Sense_and_Sensibility/character_10_list_cleaned.txt,
colonel brandon,Books/Sense_and_Sensibility/character_0_list_cleaned.txt,
edward ferrars,Books/Sense_and_Sensibility/character_9_list_cleaned.txt,
elinor dashwood,Books/Sense_and_Sensibility/character_2_list_cleaned.txt,
miss sophia grey,Books/Sense_and_Sensibility/character_11_list_cleaned.txt,
lucy steele,Books/Sense_and_Sensibility/character_18_list_cleaned.txt,
lady middleton,Books/Sense_and_Sensibility/character_13_list_cleaned.txt,
fanny dashwood,Books/Sense_and_Sensibility/character_4_list_cleaned.txt,
mrs. jennings,Books/Sense_and_Sensibility/character_12_list_cleaned.txt,
anne steele,Books/Sense_and_Sensibility/character_17_list_cleaned.txt,
john dashwood,Books/Sense_and_Sensibility/character_5_list_cleaned.txt,
john willoughby,Books/Sense_and_Sensibility/character_19_list_cleaned.txt,
henry dashwood,Books/Sense_and_Sensibility/character_3_list_cleaned.txt,
mrs. charlotte palmer,Books/Sense_and_Sensibility/character_16_list_cleaned.txt,
marianne dashwood,Books/Sense_and_Sensibility/character_7_list_cleaned.txt,
mrs. dashwood,Books/Sense_and_Sensibility/character_1_list_cleaned.txt,
margaret dashwood,Books/Sense_and_Sensibility/character_6_list_cleaned.txt,
