characterName,listFile,analysisFile
dussardier,Books/Sentimental_Education/character_16_list_cleaned.txt,
madame marie arnoux,Books/Sentimental_Education/character_1_list_cleaned.txt,
hussonnet,Books/Sentimental_Education/character_5_list_cleaned.txt,
catherine,Books/Sentimental_Education/character_20_list_cleaned.txt,
madame eleonore,Books/Sentimental_Education/character_21_list_cleaned.txt,
mademoiselle rose-annette bron (rosanette),Books/Sentimental_Education/character_4_list_cleaned.txt,
delmar,Books/Sentimental_Education/character_23_list_cleaned.txt,
charles deslauriers,Books/Sentimental_Education/character_3_list_cleaned.txt,Books/Sentimental_Education/character_3_analysis_cleaned.txt
cecile,Books/Sentimental_Education/character_12_list_cleaned.txt,
madame regimbart,Books/Sentimental_Education/character_18_list_cleaned.txt,
regimbart,Books/Sentimental_Education/character_17_list_cleaned.txt,
madame moreau,Books/Sentimental_Education/character_7_list_cleaned.txt,
senecal,Books/Sentimental_Education/character_10_list_cleaned.txt,
monsieur roque,Books/Sentimental_Education/character_8_list_cleaned.txt,
frederic moreau,Books/Sentimental_Education/character_0_list_cleaned.txt,Books/Sentimental_Education/character_0_analysis_cleaned.txt
pellerin,Books/Sentimental_Education/character_6_list_cleaned.txt,
marquis de cisy,Books/Sentimental_Education/character_13_list_cleaned.txt,
monsieur jacques arnoux,Books/Sentimental_Education/character_2_list_cleaned.txt,
madame dambreuse,Books/Sentimental_Education/character_15_list_cleaned.txt,
uncle barthelemy,Books/Sentimental_Education/character_22_list_cleaned.txt,
baptiste martinon,Books/Sentimental_Education/character_11_list_cleaned.txt,
monsieur oudry,Books/Sentimental_Education/character_24_list_cleaned.txt,
monsieur dambreuse,Books/Sentimental_Education/character_14_list_cleaned.txt,
mademoiselle vatnaz,Books/Sentimental_Education/character_19_list_cleaned.txt,
louise roque,Books/Sentimental_Education/character_9_list_cleaned.txt,
