characterName,listFile,analysisFile
sally oates,Books/Silas_Marner/character_21_list_cleaned.txt,
jem rodney,Books/Silas_Marner/character_14_list_cleaned.txt,
mr. dowlas,Books/Silas_Marner/character_16_list_cleaned.txt,
aaron winthrop,Books/Silas_Marner/character_10_list_cleaned.txt,
mr. snell,Books/Silas_Marner/character_17_list_cleaned.txt,
mr. lammeter,Books/Silas_Marner/character_13_list_cleaned.txt,
sarah,Books/Silas_Marner/character_12_list_cleaned.txt,
mr. kimble,Books/Silas_Marner/character_15_list_cleaned.txt,
william dane,Books/Silas_Marner/character_8_list_cleaned.txt,
nancy lammeter,Books/Silas_Marner/character_3_list_cleaned.txt,Books/Silas_Marner/character_3_analysis_cleaned.txt
silas marner,Books/Silas_Marner/character_0_list_cleaned.txt,Books/Silas_Marner/character_0_analysis_cleaned.txt
eppie,Books/Silas_Marner/character_2_list_cleaned.txt,
dunstan cass,Books/Silas_Marner/character_4_list_cleaned.txt,
dolly winthrop,Books/Silas_Marner/character_6_list_cleaned.txt,
molly farren,Books/Silas_Marner/character_7_list_cleaned.txt,
mr. macey,Books/Silas_Marner/character_9_list_cleaned.txt,
godfrey cass,Books/Silas_Marner/character_1_list_cleaned.txt,Books/Silas_Marner/character_1_analysis_cleaned.txt
bryce,Books/Silas_Marner/character_19_list_cleaned.txt,
priscilla lammeter,Books/Silas_Marner/character_11_list_cleaned.txt,
the peddler,Books/Silas_Marner/character_18_list_cleaned.txt,
squire cass,Books/Silas_Marner/character_5_list_cleaned.txt,
miss gunns,Books/Silas_Marner/character_20_list_cleaned.txt,
