characterName,listFile,analysisFile
carrie meeber,Books/Sister_Carrie/character_0_list_cleaned.txt,
lola,Books/Sister_Carrie/character_13_list_cleaned.txt,
mr. hale,Books/Sister_Carrie/character_9_list_cleaned.txt,
mr. ames,Books/Sister_Carrie/character_12_list_cleaned.txt,
fitzgerald and moy,Books/Sister_Carrie/character_6_list_cleaned.txt,
charlie drouet,Books/Sister_Carrie/character_1_list_cleaned.txt,
minnie,Books/Sister_Carrie/character_8_list_cleaned.txt,
mrs. vance,Books/Sister_Carrie/character_11_list_cleaned.txt,
george hurstwood,Books/Sister_Carrie/character_2_list_cleaned.txt,
the captain,Books/Sister_Carrie/character_14_list_cleaned.txt,
mrs. hale,Books/Sister_Carrie/character_10_list_cleaned.txt,
hanson,Books/Sister_Carrie/character_7_list_cleaned.txt,
"george hurstwood, jr.",Books/Sister_Carrie/character_3_list_cleaned.txt,
jessica hurstwood,Books/Sister_Carrie/character_4_list_cleaned.txt,
julia hurstwood,Books/Sister_Carrie/character_5_list_cleaned.txt,
