characterName,listFile,analysisFile
madame pace,Books/Six_Characters_in_Search_of_an_Author/character_7_list_cleaned.txt,
the son,Books/Six_Characters_in_Search_of_an_Author/character_3_list_cleaned.txt,Books/Six_Characters_in_Search_of_an_Author/character_3_analysis_cleaned.txt
the father,Books/Six_Characters_in_Search_of_an_Author/character_0_list_cleaned.txt,Books/Six_Characters_in_Search_of_an_Author/character_0_analysis_cleaned.txt
the manager,Books/Six_Characters_in_Search_of_an_Author/character_4_list_cleaned.txt,
the boy,Books/Six_Characters_in_Search_of_an_Author/character_5_list_cleaned.txt,
the child,Books/Six_Characters_in_Search_of_an_Author/character_6_list_cleaned.txt,
leading man,Books/Six_Characters_in_Search_of_an_Author/character_9_list_cleaned.txt,
the step-daughter,Books/Six_Characters_in_Search_of_an_Author/character_1_list_cleaned.txt,Books/Six_Characters_in_Search_of_an_Author/character_1_analysis_cleaned.txt
prompter,Books/Six_Characters_in_Search_of_an_Author/character_12_list_cleaned.txt,
juvenile lead,Books/Six_Characters_in_Search_of_an_Author/character_11_list_cleaned.txt,
leading lady,Books/Six_Characters_in_Search_of_an_Author/character_8_list_cleaned.txt,
the mother,Books/Six_Characters_in_Search_of_an_Author/character_2_list_cleaned.txt,Books/Six_Characters_in_Search_of_an_Author/character_2_analysis_cleaned.txt
second lady,Books/Six_Characters_in_Search_of_an_Author/character_10_list_cleaned.txt,
