characterName,listFile,analysisFile
lily rumfoord,Books/SlaughterhouseFive/character_18_list_cleaned.txt,
billy's father,Books/SlaughterhouseFive/character_21_list_cleaned.txt,
billy's mother,Books/SlaughterhouseFive/character_20_list_cleaned.txt,
billy pilgrim,Books/SlaughterhouseFive/character_0_list_cleaned.txt,Books/SlaughterhouseFive/character_0_analysis_cleaned.txt
robert pilgrim,Books/SlaughterhouseFive/character_19_list_cleaned.txt,
mary o'hare,Books/SlaughterhouseFive/character_3_list_cleaned.txt,
kurt vonnegut,Books/SlaughterhouseFive/character_1_list_cleaned.txt,
wild bob,Books/SlaughterhouseFive/character_6_list_cleaned.txt,
gerhard muller,Books/SlaughterhouseFive/character_4_list_cleaned.txt,
bertram copeland rumfoord,Books/SlaughterhouseFive/character_17_list_cleaned.txt,
roland weary,Books/SlaughterhouseFive/character_5_list_cleaned.txt,
werner gluck,Books/SlaughterhouseFive/character_14_list_cleaned.txt,
kilgore trout,Books/SlaughterhouseFive/character_12_list_cleaned.txt,
eliot rosewater,Books/SlaughterhouseFive/character_11_list_cleaned.txt,
montana wildhack,Books/SlaughterhouseFive/character_15_list_cleaned.txt,
bernhard v. o'hare,Books/SlaughterhouseFive/character_2_list_cleaned.txt,
tralfamadorians,Books/SlaughterhouseFive/character_10_list_cleaned.txt,
barbara pilgrim,Books/SlaughterhouseFive/character_16_list_cleaned.txt,
valencia merble,Books/SlaughterhouseFive/character_9_list_cleaned.txt,
"howard w. campbell, jr.",Books/SlaughterhouseFive/character_13_list_cleaned.txt,
paul lazzaro,Books/SlaughterhouseFive/character_7_list_cleaned.txt,
edgar derby,Books/SlaughterhouseFive/character_8_list_cleaned.txt,
