characterName,listFile,analysisFile
miss foley,Books/Something_Wicked_This_Way_Comes/character_5_list_cleaned.txt,
james nightshade,Books/Something_Wicked_This_Way_Comes/character_1_list_cleaned.txt,
robert,Books/Something_Wicked_This_Way_Comes/character_12_list_cleaned.txt,
mr. crosetti,Books/Something_Wicked_This_Way_Comes/character_10_list_cleaned.txt,
charles halloway,Books/Something_Wicked_This_Way_Comes/character_2_list_cleaned.txt,Books/Something_Wicked_This_Way_Comes/character_2_analysis_cleaned.txt
mr. fury,Books/Something_Wicked_This_Way_Comes/character_7_list_cleaned.txt,
william halloway,Books/Something_Wicked_This_Way_Comes/character_0_list_cleaned.txt,
will's mother,Books/Something_Wicked_This_Way_Comes/character_9_list_cleaned.txt,
mr. dark,Books/Something_Wicked_This_Way_Comes/character_3_list_cleaned.txt,
mr. tetley,Books/Something_Wicked_This_Way_Comes/character_11_list_cleaned.txt,
dust witch,Books/Something_Wicked_This_Way_Comes/character_6_list_cleaned.txt,
jim's mother,Books/Something_Wicked_This_Way_Comes/character_8_list_cleaned.txt,
mr. cooger,Books/Something_Wicked_This_Way_Comes/character_4_list_cleaned.txt,
