characterName,listFile,analysisFile
mrs. radford,Books/Sons_and_Lovers/character_9_list.txt,
louisa lily denys western,Books/Sons_and_Lovers/character_11_list.txt,
"mr. and mrs. leivers, agatha, edgar, geoffrey, maurice",Books/Sons_and_Lovers/character_12_list.txt,
william morel,Books/Sons_and_Lovers/character_3_list.txt,
baxter dawes,Books/Sons_and_Lovers/character_8_list.txt,
paul morel,Books/Sons_and_Lovers/character_1_list.txt,
thomas jordan,Books/Sons_and_Lovers/character_10_list.txt,
mr. heaton,Books/Sons_and_Lovers/character_16_list.txt,
fanny,Books/Sons_and_Lovers/character_13_list.txt,
jerry purdy,Books/Sons_and_Lovers/character_15_list.txt,
walter morel,Books/Sons_and_Lovers/character_2_list.txt,
john field,Books/Sons_and_Lovers/character_14_list.txt,
miriam leivers,Books/Sons_and_Lovers/character_6_list.txt,
beatrice wyld,Books/Sons_and_Lovers/character_17_list.txt,
annie morel,Books/Sons_and_Lovers/character_4_list.txt,
gertrude morel,Books/Sons_and_Lovers/character_0_list.txt,
arthur morel,Books/Sons_and_Lovers/character_5_list.txt,
clara dawes,Books/Sons_and_Lovers/character_7_list.txt,
