characterName,listFile,analysisFile
dad,Books/Sophies_World/character_7_list_cleaned.txt,
alberto knox,Books/Sophies_World/character_1_list_cleaned.txt,
hilde moller knag,Books/Sophies_World/character_2_list_cleaned.txt,
jeremy,Books/Sophies_World/character_9_list_cleaned.txt,
sophie amundsen,Books/Sophies_World/character_0_list_cleaned.txt,
albert knag,Books/Sophies_World/character_3_list_cleaned.txt,Books/Sophies_World/character_3_analysis_cleaned.txt
joanna,Books/Sophies_World/character_5_list_cleaned.txt,
mom,Books/Sophies_World/character_6_list_cleaned.txt,
mother,Books/Sophies_World/character_4_list_cleaned.txt,
hermes,Books/Sophies_World/character_8_list_cleaned.txt,
