characterName,listFile,analysisFile
bel-imperia,Books/Spanish_Tragedy/character_1_list_cleaned.txt,Books/Spanish_Tragedy/character_1_analysis_cleaned.txt
serberine,Books/Spanish_Tragedy/character_11_list_cleaned.txt,
isabella,Books/Spanish_Tragedy/character_7_list_cleaned.txt,
pedringano,Books/Spanish_Tragedy/character_10_list_cleaned.txt,
the viceroy,Books/Spanish_Tragedy/character_9_list_cleaned.txt,
the ambassador,Books/Spanish_Tragedy/character_13_list_cleaned.txt,
horatio,Books/Spanish_Tragedy/character_4_list_cleaned.txt,
revenge,Books/Spanish_Tragedy/character_6_list_cleaned.txt,
the king,Books/Spanish_Tragedy/character_8_list_cleaned.txt,
hieronimo,Books/Spanish_Tragedy/character_0_list_cleaned.txt,Books/Spanish_Tragedy/character_0_analysis_cleaned.txt
ghost of andrea,Books/Spanish_Tragedy/character_5_list_cleaned.txt,
lorenzo,Books/Spanish_Tragedy/character_2_list_cleaned.txt,Books/Spanish_Tragedy/character_2_analysis_cleaned.txt
christophil,Books/Spanish_Tragedy/character_17_list_cleaned.txt,
bazulto,Books/Spanish_Tragedy/character_12_list_cleaned.txt,
alexandro,Books/Spanish_Tragedy/character_14_list_cleaned.txt,
balthazar,Books/Spanish_Tragedy/character_3_list_cleaned.txt,
villuppo,Books/Spanish_Tragedy/character_15_list_cleaned.txt,
the page,Books/Spanish_Tragedy/character_19_list_cleaned.txt,
general of the spanish army,Books/Spanish_Tragedy/character_16_list_cleaned.txt,
the hangman,Books/Spanish_Tragedy/character_18_list_cleaned.txt,
