characterName,listFile,analysisFile
gillian boardman,Books/Stranger_in_a_Strange_Land/character_2_list_cleaned.txt,Books/Stranger_in_a_Strange_Land/character_2_analysis_cleaned.txt
gilbert berquist,Books/Stranger_in_a_Strange_Land/character_16_list_cleaned.txt,
duke and larry,Books/Stranger_in_a_Strange_Land/character_13_list_cleaned.txt,
thomas mackenzie,Books/Stranger_in_a_Strange_Land/character_17_list_cleaned.txt,
"dr. ""stinky"" mahmoud",Books/Stranger_in_a_Strange_Land/character_12_list_cleaned.txt,
ruth and sam,Books/Stranger_in_a_Strange_Land/character_20_list_cleaned.txt,
the reverend foster,Books/Stranger_in_a_Strange_Land/character_11_list_cleaned.txt,
patty paiwonski,Books/Stranger_in_a_Strange_Land/character_7_list_cleaned.txt,
dr. nelson,Books/Stranger_in_a_Strange_Land/character_19_list_cleaned.txt,
madame alexandra vesant,Books/Stranger_in_a_Strange_Land/character_8_list_cleaned.txt,
senator boone,Books/Stranger_in_a_Strange_Land/character_18_list_cleaned.txt,
secretary general joseph douglas,Books/Stranger_in_a_Strange_Land/character_5_list_cleaned.txt,
captain willem van tromp,Books/Stranger_in_a_Strange_Land/character_14_list_cleaned.txt,
ben caxton,Books/Stranger_in_a_Strange_Land/character_3_list_cleaned.txt,
valentine michael smith,Books/Stranger_in_a_Strange_Land/character_0_list_cleaned.txt,Books/Stranger_in_a_Strange_Land/character_0_analysis_cleaned.txt
jubal harshaw,Books/Stranger_in_a_Strange_Land/character_1_list_cleaned.txt,Books/Stranger_in_a_Strange_Land/character_1_analysis_cleaned.txt
agnes douglas,Books/Stranger_in_a_Strange_Land/character_6_list_cleaned.txt,
dawn ardent,Books/Stranger_in_a_Strange_Land/character_9_list_cleaned.txt,
bishop digby,Books/Stranger_in_a_Strange_Land/character_10_list_cleaned.txt,
abigail zenobia and fatima michele,Books/Stranger_in_a_Strange_Land/character_21_list_cleaned.txt,
james oliver cavendish,Books/Stranger_in_a_Strange_Land/character_15_list_cleaned.txt,
"anne, miriam, and dorcas",Books/Stranger_in_a_Strange_Land/character_4_list_cleaned.txt,
