characterName,listFile,analysisFile
ralph peace,Books/Sula/character_12_list_cleaned.txt,
tar baby,Books/Sula/character_18_list_cleaned.txt,
helene wright,Books/Sula/character_20_list_cleaned.txt,
wiley wright,Books/Sula/character_21_list_cleaned.txt,
ajax (albert jacks),Books/Sula/character_6_list_cleaned.txt,
rekus,Books/Sula/character_14_list_cleaned.txt,
nel,Books/Sula/character_7_list_cleaned.txt,
chicken little,Books/Sula/character_1_list_cleaned.txt,
cecile,Books/Sula/character_0_list_cleaned.txt,
mr. finley,Books/Sula/character_4_list_cleaned.txt,
shadrack,Books/Sula/character_16_list_cleaned.txt,
rochelle,Books/Sula/character_15_list_cleaned.txt,
eva peace,Books/Sula/character_9_list_cleaned.txt,
old willy fields,Books/Sula/character_3_list_cleaned.txt,
sula peace,Books/Sula/character_13_list_cleaned.txt,
jude greene,Books/Sula/character_5_list_cleaned.txt,
hannah peace,Books/Sula/character_10_list_cleaned.txt,
teapot,Books/Sula/character_19_list_cleaned.txt,
pearl peace,Books/Sula/character_11_list_cleaned.txt,
the deweys,Books/Sula/character_2_list_cleaned.txt,
boyboy peace,Books/Sula/character_8_list_cleaned.txt,
mr. and mrs. suggs,Books/Sula/character_17_list_cleaned.txt,
