characterName,listFile,analysisFile
comte de forcheville,Books/Swanns_Way/character_7_list.txt,
marcel's father,Books/Swanns_Way/character_5_list.txt,
eulalie,Books/Swanns_Way/character_13_list.txt,
verdurins,Books/Swanns_Way/character_10_list.txt,
mlle. vinteuil,Books/Swanns_Way/character_15_list.txt,
m. de charlus,Books/Swanns_Way/character_3_list.txt,
duchess of guermentes,Books/Swanns_Way/character_18_list.txt,
marcel's mother,Books/Swanns_Way/character_4_list.txt,
marcel,Books/Swanns_Way/character_0_list.txt,
bloch,Books/Swanns_Way/character_9_list.txt,
marcel's grandparents,Books/Swanns_Way/character_6_list.txt,
francoise,Books/Swanns_Way/character_16_list.txt,
m. vinteuil,Books/Swanns_Way/character_14_list.txt,
odette,Books/Swanns_Way/character_2_list.txt,
charles swann,Books/Swanns_Way/character_1_list.txt,
aunt leonie,Books/Swanns_Way/character_12_list.txt,
adolphe,Books/Swanns_Way/character_11_list.txt,
gilberte,Books/Swanns_Way/character_8_list.txt,
m. legrandin,Books/Swanns_Way/character_17_list.txt,
