characterName,listFile,analysisFile
abe north,Books/Tender_is_the_Night/character_4_list_cleaned.txt,
jules peterson,Books/Tender_is_the_Night/character_17_list_cleaned.txt,
conte di minghetti,Books/Tender_is_the_Night/character_14_list_cleaned.txt,
baby warren,Books/Tender_is_the_Night/character_6_list_cleaned.txt,
devereux warren,Books/Tender_is_the_Night/character_8_list_cleaned.txt,
dick diver,Books/Tender_is_the_Night/character_0_list_cleaned.txt,
albert mckisco,Books/Tender_is_the_Night/character_9_list_cleaned.txt,
lady caroline,Books/Tender_is_the_Night/character_13_list_cleaned.txt,
collis clay,Books/Tender_is_the_Night/character_11_list_cleaned.txt,
earl brady,Books/Tender_is_the_Night/character_15_list_cleaned.txt,
nicole diver,Books/Tender_is_the_Night/character_1_list_cleaned.txt,
dr. dohmler,Books/Tender_is_the_Night/character_21_list_cleaned.txt,
mary north,Books/Tender_is_the_Night/character_5_list_cleaned.txt,
tommy barban,Books/Tender_is_the_Night/character_3_list_cleaned.txt,
franz gregorovius or dr. gregory,Books/Tender_is_the_Night/character_7_list_cleaned.txt,
violet mckisco,Books/Tender_is_the_Night/character_10_list_cleaned.txt,
campion,Books/Tender_is_the_Night/character_16_list_cleaned.txt,
rosemary hoyt,Books/Tender_is_the_Night/character_2_list_cleaned.txt,
mrs. speers,Books/Tender_is_the_Night/character_12_list_cleaned.txt,
maria wallis,Books/Tender_is_the_Night/character_19_list_cleaned.txt,
lanier and topsy,Books/Tender_is_the_Night/character_18_list_cleaned.txt,
prince chillicheff,Books/Tender_is_the_Night/character_20_list_cleaned.txt,
