characterName,listFile,analysisFile
reverend felix clare,Books/Tess_of_the_dUrbervilles/character_9_list_cleaned.txt,
mercy chant,Books/Tess_of_the_dUrbervilles/character_13_list_cleaned.txt,
mr. john durbeyfield,Books/Tess_of_the_dUrbervilles/character_3_list_cleaned.txt,
reverend clare,Books/Tess_of_the_dUrbervilles/character_7_list_cleaned.txt,
mrs. joan durbeyfield,Books/Tess_of_the_dUrbervilles/character_4_list_cleaned.txt,
alec d'urberville,Books/Tess_of_the_dUrbervilles/character_2_list_cleaned.txt,Books/Tess_of_the_dUrbervilles/character_2_analysis_cleaned.txt
eliza louisa durbeyfield,Books/Tess_of_the_dUrbervilles/character_11_list_cleaned.txt,
angel clare,Books/Tess_of_the_dUrbervilles/character_1_list_cleaned.txt,Books/Tess_of_the_dUrbervilles/character_1_analysis_cleaned.txt
mrs. d'urberville,Books/Tess_of_the_dUrbervilles/character_5_list_cleaned.txt,
tess durbeyfield,Books/Tess_of_the_dUrbervilles/character_0_list_cleaned.txt,Books/Tess_of_the_dUrbervilles/character_0_analysis_cleaned.txt
"marian, izz huett, and retty priddle",Books/Tess_of_the_dUrbervilles/character_6_list_cleaned.txt,
reverend cuthbert,Books/Tess_of_the_dUrbervilles/character_10_list_cleaned.txt,
sorrow,Books/Tess_of_the_dUrbervilles/character_12_list_cleaned.txt,
mrs. clare,Books/Tess_of_the_dUrbervilles/character_8_list_cleaned.txt,
