characterName,listFile,analysisFile
andromache,Books/The_Aeneid/character_32_list_cleaned.txt,
agamemnon,Books/The_Aeneid/character_36_list_cleaned.txt,
ulysses,Books/The_Aeneid/character_29_list_cleaned.txt,
minerva,Books/The_Aeneid/character_27_list_cleaned.txt,
anchises,Books/The_Aeneid/character_4_list_cleaned.txt,
pallas,Books/The_Aeneid/character_11_list_cleaned.txt,
jupiter,Books/The_Aeneid/character_18_list_cleaned.txt,
ascanius,Books/The_Aeneid/character_3_list_cleaned.txt,
tiberinus,Books/The_Aeneid/character_25_list_cleaned.txt,
aeolus,Books/The_Aeneid/character_21_list_cleaned.txt,
mercury,Books/The_Aeneid/character_20_list_cleaned.txt,
saturn,Books/The_Aeneid/character_26_list_cleaned.txt,
paris,Books/The_Aeneid/character_33_list_cleaned.txt,
drances,Books/The_Aeneid/character_12_list_cleaned.txt,
apollo,Books/The_Aeneid/character_28_list_cleaned.txt,
cupid,Books/The_Aeneid/character_22_list_cleaned.txt,
hector,Books/The_Aeneid/character_31_list_cleaned.txt,
camilla,Books/The_Aeneid/character_13_list_cleaned.txt,
achates,Books/The_Aeneid/character_15_list_cleaned.txt,
allecto,Books/The_Aeneid/character_23_list_cleaned.txt,
evander,Books/The_Aeneid/character_10_list_cleaned.txt,
creusa,Books/The_Aeneid/character_5_list_cleaned.txt,
latinus,Books/The_Aeneid/character_7_list_cleaned.txt,
aeneas,Books/The_Aeneid/character_0_list_cleaned.txt,Books/The_Aeneid/character_0_analysis_cleaned.txt
juno,Books/The_Aeneid/character_16_list_cleaned.txt,
turnus,Books/The_Aeneid/character_2_list_cleaned.txt,Books/The_Aeneid/character_2_analysis_cleaned.txt
priam,Books/The_Aeneid/character_37_list_cleaned.txt,
pyrrhus,Books/The_Aeneid/character_38_list_cleaned.txt,
vulcan,Books/The_Aeneid/character_24_list_cleaned.txt,
sinon,Books/The_Aeneid/character_6_list_cleaned.txt,
helen,Books/The_Aeneid/character_34_list_cleaned.txt,
juturna,Books/The_Aeneid/character_14_list_cleaned.txt,
achilles,Books/The_Aeneid/character_30_list_cleaned.txt,
amata,Books/The_Aeneid/character_9_list_cleaned.txt,
dido,Books/The_Aeneid/character_1_list_cleaned.txt,Books/The_Aeneid/character_1_analysis_cleaned.txt
neptune,Books/The_Aeneid/character_19_list_cleaned.txt,
lavinia,Books/The_Aeneid/character_8_list_cleaned.txt,
menelaus,Books/The_Aeneid/character_35_list_cleaned.txt,
venus,Books/The_Aeneid/character_17_list_cleaned.txt,
