characterName,listFile,analysisFile
newland archer,Books/The_Age_of_Innocence/character_0_list_cleaned.txt,
mrs. manson mingott,Books/The_Age_of_Innocence/character_3_list_cleaned.txt,
mrs. lemuel struthers,Books/The_Age_of_Innocence/character_11_list_cleaned.txt,
sillerton jackson,Books/The_Age_of_Innocence/character_8_list_cleaned.txt,
julius beaufort,Books/The_Age_of_Innocence/character_5_list_cleaned.txt,
ned winsett,Books/The_Age_of_Innocence/character_10_list_cleaned.txt,
countess ellen olenska,Books/The_Age_of_Innocence/character_1_list_cleaned.txt,
mrs. archer and janey archer,Books/The_Age_of_Innocence/character_6_list_cleaned.txt,
lawrence lefferts,Books/The_Age_of_Innocence/character_7_list_cleaned.txt,
henry and louisa van der luyden,Books/The_Age_of_Innocence/character_4_list_cleaned.txt,
medora manson,Books/The_Age_of_Innocence/character_9_list_cleaned.txt,
may welland,Books/The_Age_of_Innocence/character_2_list_cleaned.txt,
