characterName,listFile,analysisFile
mr. jamison,Books/Roll_of_Thunder_Hear_My_Cry/character_13_list.txt,
jeremy simms,Books/Roll_of_Thunder_Hear_My_Cry/character_9_list.txt,
"the wallace family (kaleb, dewberry, etc.)",Books/Roll_of_Thunder_Hear_My_Cry/character_14_list.txt,
melvin and r. w. simms,Books/Roll_of_Thunder_Hear_My_Cry/character_11_list.txt,
mama (mary logan),Books/Roll_of_Thunder_Hear_My_Cry/character_5_list.txt,
lillian jean simms,Books/Roll_of_Thunder_Hear_My_Cry/character_10_list.txt,
uncle hammer,Books/Roll_of_Thunder_Hear_My_Cry/character_6_list.txt,
l. t. morrison,Books/Roll_of_Thunder_Hear_My_Cry/character_12_list.txt,
t. j. avery,Books/Roll_of_Thunder_Hear_My_Cry/character_8_list.txt,
little man (clayton chester logan),Books/Roll_of_Thunder_Hear_My_Cry/character_1_list.txt,
cassie logan,Books/Roll_of_Thunder_Hear_My_Cry/character_0_list.txt,
stacey logan,Books/Roll_of_Thunder_Hear_My_Cry/character_2_list.txt,
harlan granger,Books/Roll_of_Thunder_Hear_My_Cry/character_15_list.txt,
papa (david logan),Books/Roll_of_Thunder_Hear_My_Cry/character_4_list.txt,
big ma (caroline logan),Books/Roll_of_Thunder_Hear_My_Cry/character_7_list.txt,
christopher-john,Books/Roll_of_Thunder_Hear_My_Cry/character_3_list.txt,
