characterName,listFile,analysisFile
madame pace,Books/Six_Characters_in_Search_of_an_Author/character_7_list.txt,
the son,Books/Six_Characters_in_Search_of_an_Author/character_3_list.txt,Books/Six_Characters_in_Search_of_an_Author/character_3_analysis.txt
the father,Books/Six_Characters_in_Search_of_an_Author/character_0_list.txt,Books/Six_Characters_in_Search_of_an_Author/character_0_analysis.txt
the manager,Books/Six_Characters_in_Search_of_an_Author/character_4_list.txt,
the boy,Books/Six_Characters_in_Search_of_an_Author/character_5_list.txt,
the child,Books/Six_Characters_in_Search_of_an_Author/character_6_list.txt,
leading man,Books/Six_Characters_in_Search_of_an_Author/character_9_list.txt,
the step-daughter,Books/Six_Characters_in_Search_of_an_Author/character_1_list.txt,Books/Six_Characters_in_Search_of_an_Author/character_1_analysis.txt
prompter,Books/Six_Characters_in_Search_of_an_Author/character_12_list.txt,
juvenile lead,Books/Six_Characters_in_Search_of_an_Author/character_11_list.txt,
leading lady,Books/Six_Characters_in_Search_of_an_Author/character_8_list.txt,
the mother,Books/Six_Characters_in_Search_of_an_Author/character_2_list.txt,Books/Six_Characters_in_Search_of_an_Author/character_2_analysis.txt
second lady,Books/Six_Characters_in_Search_of_an_Author/character_10_list.txt,
