characterName,listFile,analysisFile
the count of monte cristo,Books/The_Count_of_Monte_Cristo/character_1_list.txt,
julie herbaut,Books/The_Count_of_Monte_Cristo/character_21_list.txt,
monsieur morrel,Books/The_Count_of_Monte_Cristo/character_11_list.txt,
lucien debray,Books/The_Count_of_Monte_Cristo/character_26_list.txt,
louise d'armilly,Books/The_Count_of_Monte_Cristo/character_25_list.txt,
major cavalcanti,Books/The_Count_of_Monte_Cristo/character_29_list.txt,
louis dantes,Books/The_Count_of_Monte_Cristo/character_12_list.txt,
ali pacha,Books/The_Count_of_Monte_Cristo/character_36_list.txt,
gerard de villefort,Books/The_Count_of_Monte_Cristo/character_10_list.txt,
sinbad the sailor,Books/The_Count_of_Monte_Cristo/character_4_list.txt,
baron danglars,Books/The_Count_of_Monte_Cristo/character_8_list.txt,
edmond dantes,Books/The_Count_of_Monte_Cristo/character_0_list.txt,Books/The_Count_of_Monte_Cristo/character_0_analysis.txt
ali,Books/The_Count_of_Monte_Cristo/character_27_list.txt,
madame danglars,Books/The_Count_of_Monte_Cristo/character_23_list.txt,
emmanuel herbaut,Books/The_Count_of_Monte_Cristo/character_22_list.txt,
valentine villefort,Books/The_Count_of_Monte_Cristo/character_15_list.txt,
albert de morcerf,Books/The_Count_of_Monte_Cristo/character_14_list.txt,
maximilian morrel,Books/The_Count_of_Monte_Cristo/character_13_list.txt,
marquise of saint-meran,Books/The_Count_of_Monte_Cristo/character_34_list.txt,
peppino,Books/The_Count_of_Monte_Cristo/character_38_list.txt,
haydee,Books/The_Count_of_Monte_Cristo/character_17_list.txt,
baron of chateau-renaud,Books/The_Count_of_Monte_Cristo/character_37_list.txt,
abbe busoni,Books/The_Count_of_Monte_Cristo/character_3_list.txt,
jacopo,Books/The_Count_of_Monte_Cristo/character_35_list.txt,
madame d'villefort,Books/The_Count_of_Monte_Cristo/character_20_list.txt,
marquis of saint-meran,Books/The_Count_of_Monte_Cristo/character_33_list.txt,
caderousse,Books/The_Count_of_Monte_Cristo/character_9_list.txt,Books/The_Count_of_Monte_Cristo/character_9_analysis.txt
fernand mondego,Books/The_Count_of_Monte_Cristo/character_7_list.txt,
countess g--,Books/The_Count_of_Monte_Cristo/character_39_list.txt,
franz d'epinay,Books/The_Count_of_Monte_Cristo/character_32_list.txt,
eugenie danglars,Books/The_Count_of_Monte_Cristo/character_24_list.txt,
edward d'villefort,Books/The_Count_of_Monte_Cristo/character_30_list.txt,
signor bertuccio,Books/The_Count_of_Monte_Cristo/character_18_list.txt,
beauchamp,Books/The_Count_of_Monte_Cristo/character_31_list.txt,
lord wilmore,Books/The_Count_of_Monte_Cristo/character_2_list.txt,
luigi vampa,Books/The_Count_of_Monte_Cristo/character_28_list.txt,
noirtier,Books/The_Count_of_Monte_Cristo/character_16_list.txt,
abbe faria,Books/The_Count_of_Monte_Cristo/character_6_list.txt,
mercedes,Books/The_Count_of_Monte_Cristo/character_5_list.txt,Books/The_Count_of_Monte_Cristo/character_5_analysis.txt
benedetto,Books/The_Count_of_Monte_Cristo/character_19_list.txt,
