characterName,listFile,analysisFile
ezekiel cheever,Books/The_Crucible/character_16_list.txt,
abigail williams,Books/The_Crucible/character_1_list.txt,Books/The_Crucible/character_1_analysis.txt
ruth putnam,Books/The_Crucible/character_11_list.txt,
reverend parris,Books/The_Crucible/character_4_list.txt,
elizabeth proctor,Books/The_Crucible/character_3_list.txt,
mary warren,Books/The_Crucible/character_13_list.txt,
ann putnam,Books/The_Crucible/character_10_list.txt,
judge hathorne,Books/The_Crucible/character_17_list.txt,
martha corey,Books/The_Crucible/character_15_list.txt,
betty parris,Books/The_Crucible/character_14_list.txt,
francis nurse,Books/The_Crucible/character_6_list.txt,
giles corey,Books/The_Crucible/character_8_list.txt,
mercy lewis,Books/The_Crucible/character_19_list.txt,
thomas putnam,Books/The_Crucible/character_9_list.txt,
herrick,Books/The_Crucible/character_18_list.txt,
reverend john hale,Books/The_Crucible/character_2_list.txt,
judge danforth,Books/The_Crucible/character_7_list.txt,
john proctor,Books/The_Crucible/character_0_list.txt,Books/The_Crucible/character_0_analysis.txt
tituba,Books/The_Crucible/character_12_list.txt,
rebecca nurse,Books/The_Crucible/character_5_list.txt,
