characterName,listFile,analysisFile
"miles, dean, serge and leonard",Books/The_Crying_of_Lot_49/character_4_list.txt,
oedipa maas,Books/The_Crying_of_Lot_49/character_0_list.txt,
emory bortz,Books/The_Crying_of_Lot_49/character_13_list.txt,
genghis cohen,Books/The_Crying_of_Lot_49/character_12_list.txt,
mike fallopian,Books/The_Crying_of_Lot_49/character_5_list.txt,
clayton chiclitz,Books/The_Crying_of_Lot_49/character_8_list.txt,
john nefastis,Books/The_Crying_of_Lot_49/character_11_list.txt,
manny di presso,Books/The_Crying_of_Lot_49/character_6_list.txt,
metzger,Books/The_Crying_of_Lot_49/character_3_list.txt,
dr. hilarius,Books/The_Crying_of_Lot_49/character_9_list.txt,
pierce inverarity,Books/The_Crying_of_Lot_49/character_2_list.txt,
stanley koteks,Books/The_Crying_of_Lot_49/character_10_list.txt,
mucho maas,Books/The_Crying_of_Lot_49/character_1_list.txt,
randolph driblette,Books/The_Crying_of_Lot_49/character_7_list.txt,
