characterName,listFile,analysisFile
christopher's mother (judy boone),Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_2_list.txt,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_2_analysis.txt
mr. wise,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_16_list.txt,
rhodri,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_10_list.txt,
mrs. alexander,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_6_list.txt,
reverend peters,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_13_list.txt,
julie,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_11_list.txt,
toby,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_8_list.txt,
wellington,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_7_list.txt,
mrs. shears (eileen shears),Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_3_list.txt,
christopher john francis boone,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_0_list.txt,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_0_analysis.txt
uncle terry,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_12_list.txt,
siobhan,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_5_list.txt,
christopher's father (ed boone),Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_1_list.txt,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_1_analysis.txt
mr. thompson,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_15_list.txt,
mr. shears (roger shears),Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_4_list.txt,
mr. jeavons,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_9_list.txt,
mrs. gascoyne,Books/The_Curious_Incident_of_the_Dog_in_the_Nighttime/character_14_list.txt,
