characterName,listFile,analysisFile
audrey jenning,Books/The_Day_of_the_Locust/character_10_list_cleaned.txt,
mrs. johnson,Books/The_Day_of_the_Locust/character_14_list_cleaned.txt,
tod hackett,Books/The_Day_of_the_Locust/character_0_list_cleaned.txt,Books/The_Day_of_the_Locust/character_0_analysis_cleaned.txt
adore loomis,Books/The_Day_of_the_Locust/character_12_list_cleaned.txt,
romola martin,Books/The_Day_of_the_Locust/character_17_list_cleaned.txt,
faye greener,Books/The_Day_of_the_Locust/character_2_list_cleaned.txt,Books/The_Day_of_the_Locust/character_2_analysis_cleaned.txt
mary dove,Books/The_Day_of_the_Locust/character_13_list_cleaned.txt,
maybelle loomis,Books/The_Day_of_the_Locust/character_11_list_cleaned.txt,
claude estee,Books/The_Day_of_the_Locust/character_7_list_cleaned.txt,
miguel,Books/The_Day_of_the_Locust/character_5_list_cleaned.txt,
joan schwartzen,Books/The_Day_of_the_Locust/character_9_list_cleaned.txt,
honest abe kusich,Books/The_Day_of_the_Locust/character_6_list_cleaned.txt,
hink,Books/The_Day_of_the_Locust/character_16_list_cleaned.txt,
alice estee,Books/The_Day_of_the_Locust/character_8_list_cleaned.txt,
earle shoop,Books/The_Day_of_the_Locust/character_4_list_cleaned.txt,
homer simpson,Books/The_Day_of_the_Locust/character_1_list_cleaned.txt,Books/The_Day_of_the_Locust/character_1_analysis_cleaned.txt
calvin,Books/The_Day_of_the_Locust/character_15_list_cleaned.txt,
harry greener,Books/The_Day_of_the_Locust/character_3_list_cleaned.txt,
