characterName,listFile,analysisFile
thomas young (1773-1829),Books/The_Elegant_Universe/character_26_list.txt,
albert einstein (1879-1955),Books/The_Elegant_Universe/character_4_list.txt,
calabi-yau shape/space,Books/The_Elegant_Universe/character_34_list.txt,
richard feynman (1918-1988),Books/The_Elegant_Universe/character_6_list.txt,
pierre-simon de laplace (1749-1827),Books/The_Elegant_Universe/character_16_list.txt,
special theory of relativity,Books/The_Elegant_Universe/character_63_list.txt,
string,Books/The_Elegant_Universe/character_66_list.txt,
stephen hawking (1942-),Books/The_Elegant_Universe/character_10_list.txt,
max planck (1858-1947),Books/The_Elegant_Universe/character_18_list.txt,
gravity,Books/The_Elegant_Universe/character_45_list.txt,
antiparticle,Books/The_Elegant_Universe/character_28_list.txt,
weak force,Books/The_Elegant_Universe/character_74_list.txt,
boson,Books/The_Elegant_Universe/character_32_list.txt,
edward witten (1951-),Books/The_Elegant_Universe/character_25_list.txt,
planck tension,Books/The_Elegant_Universe/character_57_list.txt,
prince louis de broglie (1892-1987),Books/The_Elegant_Universe/character_2_list.txt,
steven weinberg (1933-),Books/The_Elegant_Universe/character_24_list.txt,
planck mass,Books/The_Elegant_Universe/character_55_list.txt,
big crunch,Books/The_Elegant_Universe/character_30_list.txt,
max born (1882-1970),Books/The_Elegant_Universe/character_1_list.txt,
murray gell-mann (1929-),Books/The_Elegant_Universe/character_7_list.txt,
black hole,Books/The_Elegant_Universe/character_31_list.txt,
equivalence principle,Books/The_Elegant_Universe/character_39_list.txt,
electromagnetism/electromagnetic force,Books/The_Elegant_Universe/character_35_list.txt,
photoelectric effect,Books/The_Elegant_Universe/character_52_list.txt,
antimatter,Books/The_Elegant_Universe/character_27_list.txt,
oskar klein (1894-1977),Books/The_Elegant_Universe/character_15_list.txt,
quantum mechanics,Books/The_Elegant_Universe/character_61_list.txt,
sheldon glashow (1932-),Books/The_Elegant_Universe/character_8_list.txt,
particle accelerator,Books/The_Elegant_Universe/character_49_list.txt,
quanta,Books/The_Elegant_Universe/character_58_list.txt,
erwin schrodinger (1887-1961),Books/The_Elegant_Universe/character_21_list.txt,
general theory of relativity,Books/The_Elegant_Universe/character_43_list.txt,
standard model,Books/The_Elegant_Universe/character_65_list.txt,
topology,Books/The_Elegant_Universe/character_71_list.txt,
theodor kaluza (1885-1954),Books/The_Elegant_Universe/character_14_list.txt,
george uhlenbeck (1900-1988),Books/The_Elegant_Universe/character_23_list.txt,
unified field theory,Books/The_Elegant_Universe/character_73_list.txt,
flop transitions,Books/The_Elegant_Universe/character_40_list.txt,
quarks,Books/The_Elegant_Universe/character_62_list.txt,
newton's laws of motion,Books/The_Elegant_Universe/character_48_list.txt,
sir arthur eddington (1882-1944),Books/The_Elegant_Universe/character_3_list.txt,
photon,Books/The_Elegant_Universe/character_51_list.txt,
strong force,Books/The_Elegant_Universe/character_67_list.txt,
leonhard euler (1707-1783),Books/The_Elegant_Universe/character_5_list.txt,
tachyon,Books/The_Elegant_Universe/character_70_list.txt,
quantum field theory,Books/The_Elegant_Universe/character_59_list.txt,
big bang,Books/The_Elegant_Universe/character_29_list.txt,
graviton,Books/The_Elegant_Universe/character_44_list.txt,
bosonic string theory,Books/The_Elegant_Universe/character_33_list.txt,
electroweak theory,Books/The_Elegant_Universe/character_36_list.txt,
elementary particle,Books/The_Elegant_Universe/character_38_list.txt,
karl schwarzchild (1873-1916),Books/The_Elegant_Universe/character_22_list.txt,
abdus salam (1926-1996),Books/The_Elegant_Universe/character_20_list.txt,
elegance,Books/The_Elegant_Universe/character_37_list.txt,
niels bohr (1885-1962),Books/The_Elegant_Universe/character_0_list.txt,
m-theory,Books/The_Elegant_Universe/character_46_list.txt,
james clerk maxwell (1831-1879),Books/The_Elegant_Universe/character_17_list.txt,
edwin hubble (1889-1953),Books/The_Elegant_Universe/character_13_list.txt,
samuel goudsmit (1902-1978),Books/The_Elegant_Universe/character_9_list.txt,
planck energy,Books/The_Elegant_Universe/character_53_list.txt,
uncertainty principle,Books/The_Elegant_Universe/character_72_list.txt,
planck's constant,Books/The_Elegant_Universe/character_56_list.txt,
planck length,Books/The_Elegant_Universe/character_54_list.txt,
mirror symmetry,Books/The_Elegant_Universe/character_47_list.txt,
heinrich hertz (1857-1894),Books/The_Elegant_Universe/character_12_list.txt,
supersymmetry,Books/The_Elegant_Universe/character_69_list.txt,
george bernhard riemann (1826-1866),Books/The_Elegant_Universe/character_19_list.txt,
quantum foam,Books/The_Elegant_Universe/character_60_list.txt,
force carrier particle,Books/The_Elegant_Universe/character_41_list.txt,
spin,Books/The_Elegant_Universe/character_64_list.txt,
werner heisenberg (1901-1976),Books/The_Elegant_Universe/character_11_list.txt,
superstring theory,Books/The_Elegant_Universe/character_68_list.txt,
fundamental force,Books/The_Elegant_Universe/character_42_list.txt,
perturbation theory,Books/The_Elegant_Universe/character_50_list.txt,
