characterName,listFile,analysisFile
patrick,Books/The_English_Patient/character_8_list_cleaned.txt,
hana,Books/The_English_Patient/character_1_list_cleaned.txt,Books/The_English_Patient/character_1_analysis_cleaned.txt
kip,Books/The_English_Patient/character_2_list_cleaned.txt,Books/The_English_Patient/character_2_analysis_cleaned.txt
clara,Books/The_English_Patient/character_9_list_cleaned.txt,
katharine clifton,Books/The_English_Patient/character_4_list_cleaned.txt,
geoffrey clifton,Books/The_English_Patient/character_5_list_cleaned.txt,
caravaggio,Books/The_English_Patient/character_3_list_cleaned.txt,
lord suffolk,Books/The_English_Patient/character_7_list_cleaned.txt,
madox,Books/The_English_Patient/character_6_list_cleaned.txt,
almasy,Books/The_English_Patient/character_0_list_cleaned.txt,Books/The_English_Patient/character_0_analysis_cleaned.txt
