characterName,listFile,analysisFile
monica,Books/The_Fault_in_Our_Stars/character_11_list.txt,
peter van houten,Books/The_Fault_in_Our_Stars/character_5_list.txt,
caroline mathers,Books/The_Fault_in_Our_Stars/character_12_list.txt,
kaitlyn,Books/The_Fault_in_Our_Stars/character_10_list.txt,
patrick,Books/The_Fault_in_Our_Stars/character_6_list.txt,
mr. lancaster,Books/The_Fault_in_Our_Stars/character_4_list.txt,
hazel grace lancaster,Books/The_Fault_in_Our_Stars/character_0_list.txt,Books/The_Fault_in_Our_Stars/character_0_analysis.txt
dr. maria,Books/The_Fault_in_Our_Stars/character_8_list.txt,
augustus's parents,Books/The_Fault_in_Our_Stars/character_7_list.txt,
"augustus ""gus"" waters",Books/The_Fault_in_Our_Stars/character_1_list.txt,Books/The_Fault_in_Our_Stars/character_1_analysis.txt
isaac,Books/The_Fault_in_Our_Stars/character_2_list.txt,
lidewij vliegenthart,Books/The_Fault_in_Our_Stars/character_9_list.txt,
mrs. lancaster,Books/The_Fault_in_Our_Stars/character_3_list.txt,
anna,Books/The_Fault_in_Our_Stars/character_13_list.txt,
