characterName,listFile,analysisFile
jonas's father,Books/The_Giver/character_2_list.txt,Books/The_Giver/character_2_analysis.txt
gabriel,Books/The_Giver/character_5_list.txt,
jonas's mother,Books/The_Giver/character_3_list.txt,
the giver,Books/The_Giver/character_1_list.txt,Books/The_Giver/character_1_analysis.txt
asher,Books/The_Giver/character_6_list.txt,
jonas,Books/The_Giver/character_0_list.txt,Books/The_Giver/character_0_analysis.txt
the chief elder,Books/The_Giver/character_9_list.txt,
fiona,Books/The_Giver/character_7_list.txt,
lily,Books/The_Giver/character_4_list.txt,
larissa,Books/The_Giver/character_8_list.txt,
