characterName,listFile,analysisFile
the wife of wang lung's second son,Books/The_Good_Earth/character_10_list.txt,
cuckoo,Books/The_Good_Earth/character_14_list.txt,
wang lung's second daughter,Books/The_Good_Earth/character_13_list.txt,
the son of wang lung's uncle,Books/The_Good_Earth/character_5_list.txt,
the wife of wang lung's first son,Books/The_Good_Earth/character_9_list.txt,
the wife of wang lung's uncle,Books/The_Good_Earth/character_4_list.txt,
lotus,Books/The_Good_Earth/character_6_list.txt,
wang lung's uncle,Books/The_Good_Earth/character_3_list.txt,
wang lung's father,Books/The_Good_Earth/character_2_list.txt,
old mistress hwang,Books/The_Good_Earth/character_18_list.txt,
wang lung,Books/The_Good_Earth/character_0_list.txt,Books/The_Good_Earth/character_0_analysis.txt
wang lung's third son,Books/The_Good_Earth/character_11_list.txt,
liu,Books/The_Good_Earth/character_17_list.txt,
ching,Books/The_Good_Earth/character_15_list.txt,
wang lung's first son,Books/The_Good_Earth/character_7_list.txt,
old master hwang,Books/The_Good_Earth/character_19_list.txt,
wang lung's second son,Books/The_Good_Earth/character_8_list.txt,
o-lan,Books/The_Good_Earth/character_1_list.txt,Books/The_Good_Earth/character_1_analysis.txt
pear blossom,Books/The_Good_Earth/character_16_list.txt,
wang lung's first daughter,Books/The_Good_Earth/character_12_list.txt,
