characterName,listFile,analysisFile
george wilson,Books/The_Great_Gatsby/character_6_list.txt,
klipspringer,Books/The_Great_Gatsby/character_8_list.txt,
jay gatsby,Books/The_Great_Gatsby/character_1_list.txt,Books/The_Great_Gatsby/character_1_analysis.txt
meyer wolfsheim,Books/The_Great_Gatsby/character_9_list.txt,
nick carraway,Books/The_Great_Gatsby/character_0_list.txt,Books/The_Great_Gatsby/character_0_analysis.txt
jordan baker,Books/The_Great_Gatsby/character_4_list.txt,
myrtle wilson,Books/The_Great_Gatsby/character_5_list.txt,
owl eyes,Books/The_Great_Gatsby/character_7_list.txt,
daisy buchanan,Books/The_Great_Gatsby/character_2_list.txt,Books/The_Great_Gatsby/character_2_analysis.txt
tom buchanan,Books/The_Great_Gatsby/character_3_list.txt,
