characterName,listFile,analysisFile
thorin oakenshield,Books/The_Hobbit/character_2_list.txt,
dwarves,Books/The_Hobbit/character_10_list.txt,
smaug,Books/The_Hobbit/character_4_list.txt,
wargs,Books/The_Hobbit/character_15_list.txt,
gollum,Books/The_Hobbit/character_3_list.txt,
beorn,Books/The_Hobbit/character_6_list.txt,
humans,Books/The_Hobbit/character_12_list.txt,
dark lord sauron,Books/The_Hobbit/character_8_list.txt,
trolls,Books/The_Hobbit/character_13_list.txt,
goblins,Books/The_Hobbit/character_14_list.txt,
bard,Books/The_Hobbit/character_5_list.txt,
thror,Books/The_Hobbit/character_9_list.txt,
bilbo baggins,Books/The_Hobbit/character_0_list.txt,
elves,Books/The_Hobbit/character_11_list.txt,
gandalf,Books/The_Hobbit/character_1_list.txt,Books/The_Hobbit/character_1_analysis.txt
elrond,Books/The_Hobbit/character_7_list.txt,
