characterName,listFile,analysisFile
lily bart,Books/The_House_of_Mirth/character_0_list_cleaned.txt,Books/The_House_of_Mirth/character_0_analysis_cleaned.txt
gerty farish,Books/The_House_of_Mirth/character_3_list_cleaned.txt,
percy gryce,Books/The_House_of_Mirth/character_6_list_cleaned.txt,
lawrence selden,Books/The_House_of_Mirth/character_1_list_cleaned.txt,Books/The_House_of_Mirth/character_1_analysis_cleaned.txt
bertha dorset,Books/The_House_of_Mirth/character_2_list_cleaned.txt,
jack stepney and gwen stepney,Books/The_House_of_Mirth/character_12_list_cleaned.txt,
judy trenor,Books/The_House_of_Mirth/character_7_list_cleaned.txt,
ned silverton,Books/The_House_of_Mirth/character_10_list_cleaned.txt,
mrs. peniston,Books/The_House_of_Mirth/character_11_list_cleaned.txt,
george dorset,Books/The_House_of_Mirth/character_9_list_cleaned.txt,
simon rosedale,Books/The_House_of_Mirth/character_4_list_cleaned.txt,Books/The_House_of_Mirth/character_4_analysis_cleaned.txt
grace stepney,Books/The_House_of_Mirth/character_13_list_cleaned.txt,
carry fisher,Books/The_House_of_Mirth/character_8_list_cleaned.txt,
gus trenor,Books/The_House_of_Mirth/character_5_list_cleaned.txt,
