characterName,listFile,analysisFile
holgrave,Books/The_House_of_the_Seven_Gables/character_3_list_cleaned.txt,Books/The_House_of_the_Seven_Gables/character_3_analysis_cleaned.txt
gervayse pyncheon,Books/The_House_of_the_Seven_Gables/character_9_list_cleaned.txt,
clifford pyncheon,Books/The_House_of_the_Seven_Gables/character_1_list_cleaned.txt,Books/The_House_of_the_Seven_Gables/character_1_analysis_cleaned.txt
old jaffrey pyncheon,Books/The_House_of_the_Seven_Gables/character_11_list_cleaned.txt,
matthew maule,Books/The_House_of_the_Seven_Gables/character_7_list_cleaned.txt,
hepzibah pyncheon,Books/The_House_of_the_Seven_Gables/character_0_list_cleaned.txt,Books/The_House_of_the_Seven_Gables/character_0_analysis_cleaned.txt
alice pyncheon,Books/The_House_of_the_Seven_Gables/character_8_list_cleaned.txt,
two workmen,Books/The_House_of_the_Seven_Gables/character_13_list_cleaned.txt,
judge pyncheon's son,Books/The_House_of_the_Seven_Gables/character_15_list_cleaned.txt,
judge jaffrey pyncheon,Books/The_House_of_the_Seven_Gables/character_2_list_cleaned.txt,
phoebe pyncheon,Books/The_House_of_the_Seven_Gables/character_4_list_cleaned.txt,Books/The_House_of_the_Seven_Gables/character_4_analysis_cleaned.txt
colonel pyncheon,Books/The_House_of_the_Seven_Gables/character_5_list_cleaned.txt,
the organ-grinder,Books/The_House_of_the_Seven_Gables/character_14_list_cleaned.txt,
an old gentleman,Books/The_House_of_the_Seven_Gables/character_16_list_cleaned.txt,
uncle venner,Books/The_House_of_the_Seven_Gables/character_10_list_cleaned.txt,
thomas maule,Books/The_House_of_the_Seven_Gables/character_12_list_cleaned.txt,
