characterName,listFile,analysisFile
the three sisters,Books/The_House_on_Mango_Street/character_24_list.txt,
sire,Books/The_House_on_Mango_Street/character_22_list.txt,
carlos and kiki,Books/The_House_on_Mango_Street/character_9_list.txt,
geraldo,Books/The_House_on_Mango_Street/character_17_list.txt,
tito,Books/The_House_on_Mango_Street/character_21_list.txt,
elenita,Books/The_House_on_Mango_Street/character_15_list.txt,
the vargas kids,Books/The_House_on_Mango_Street/character_12_list.txt,
mama,Books/The_House_on_Mango_Street/character_6_list.txt,
mamacita,Books/The_House_on_Mango_Street/character_18_list.txt,
minerva,Books/The_House_on_Mango_Street/character_20_list.txt,
papa,Books/The_House_on_Mango_Street/character_5_list.txt,
alicia,Books/The_House_on_Mango_Street/character_7_list.txt,
rachel and lucy,Books/The_House_on_Mango_Street/character_1_list.txt,
marin,Books/The_House_on_Mango_Street/character_4_list.txt,
rafaela,Books/The_House_on_Mango_Street/character_19_list.txt,
sally,Books/The_House_on_Mango_Street/character_2_list.txt,Books/The_House_on_Mango_Street/character_2_analysis.txt
ruthie,Books/The_House_on_Mango_Street/character_16_list.txt,
earl,Books/The_House_on_Mango_Street/character_23_list.txt,
esperanza,Books/The_House_on_Mango_Street/character_0_list.txt,Books/The_House_on_Mango_Street/character_0_analysis.txt
nenny,Books/The_House_on_Mango_Street/character_3_list.txt,Books/The_House_on_Mango_Street/character_3_analysis.txt
uncle nacho,Books/The_House_on_Mango_Street/character_13_list.txt,
aunt lupe,Books/The_House_on_Mango_Street/character_14_list.txt,
cathy,Books/The_House_on_Mango_Street/character_8_list.txt,
meme ortiz,Books/The_House_on_Mango_Street/character_10_list.txt,
louie,Books/The_House_on_Mango_Street/character_11_list.txt,
