characterName,listFile,analysisFile
peeta mellark,Books/The_Hunger_Games/character_1_list_cleaned.txt,Books/The_Hunger_Games/character_1_analysis_cleaned.txt
clove,Books/The_Hunger_Games/character_16_list_cleaned.txt,
foxface,Books/The_Hunger_Games/character_13_list_cleaned.txt,
madge undersee,Books/The_Hunger_Games/character_8_list_cleaned.txt,
claudius templesmith,Books/The_Hunger_Games/character_18_list_cleaned.txt,
prim everdeen,Books/The_Hunger_Games/character_5_list_cleaned.txt,
cinna,Books/The_Hunger_Games/character_7_list_cleaned.txt,
katniss everdeen,Books/The_Hunger_Games/character_0_list_cleaned.txt,Books/The_Hunger_Games/character_0_analysis_cleaned.txt
venia,Books/The_Hunger_Games/character_10_list_cleaned.txt,
haymitch abernathy,Books/The_Hunger_Games/character_2_list_cleaned.txt,Books/The_Hunger_Games/character_2_analysis_cleaned.txt
gale,Books/The_Hunger_Games/character_4_list_cleaned.txt,
caesar flickerman,Books/The_Hunger_Games/character_17_list_cleaned.txt,
effie trinket,Books/The_Hunger_Games/character_3_list_cleaned.txt,
thresh,Books/The_Hunger_Games/character_14_list_cleaned.txt,
glimmer,Books/The_Hunger_Games/character_15_list_cleaned.txt,
president snow,Books/The_Hunger_Games/character_19_list_cleaned.txt,
cato,Books/The_Hunger_Games/character_11_list_cleaned.txt,
mayor undersee,Books/The_Hunger_Games/character_9_list_cleaned.txt,
rue,Books/The_Hunger_Games/character_12_list_cleaned.txt,
mother (everdeen),Books/The_Hunger_Games/character_6_list_cleaned.txt,
