characterName,listFile,analysisFile
joe mott,Books/The_Iceman_Cometh/character_9_list_cleaned.txt,
theodore hickman,Books/The_Iceman_Cometh/character_0_list_cleaned.txt,Books/The_Iceman_Cometh/character_0_analysis_cleaned.txt
don parritt,Books/The_Iceman_Cometh/character_2_list_cleaned.txt,Books/The_Iceman_Cometh/character_2_analysis_cleaned.txt
pat mcgloin,Books/The_Iceman_Cometh/character_7_list_cleaned.txt,
harry hope,Books/The_Iceman_Cometh/character_3_list_cleaned.txt,Books/The_Iceman_Cometh/character_3_analysis_cleaned.txt
ed mosher,Books/The_Iceman_Cometh/character_6_list_cleaned.txt,
larry slade,Books/The_Iceman_Cometh/character_1_list_cleaned.txt,Books/The_Iceman_Cometh/character_1_analysis_cleaned.txt
willie oban,Books/The_Iceman_Cometh/character_8_list_cleaned.txt,
james cameron,Books/The_Iceman_Cometh/character_12_list_cleaned.txt,
cecil lewis,Books/The_Iceman_Cometh/character_11_list_cleaned.txt,
pearl and margie,Books/The_Iceman_Cometh/character_13_list_cleaned.txt,
moran and lieb,Books/The_Iceman_Cometh/character_16_list_cleaned.txt,
rocky pioggi,Books/The_Iceman_Cometh/character_4_list_cleaned.txt,
chuck morello,Books/The_Iceman_Cometh/character_14_list_cleaned.txt,
piet wetjoen,Books/The_Iceman_Cometh/character_10_list_cleaned.txt,
hugo kalmar,Books/The_Iceman_Cometh/character_5_list_cleaned.txt,
cora,Books/The_Iceman_Cometh/character_15_list_cleaned.txt,
