characterName,listFile,analysisFile
ardalyon ivolgin,Books/The_Idiot/character_15_list_cleaned.txt,
nikolai ardalyonovitch ivolgin,Books/The_Idiot/character_18_list_cleaned.txt,
aglaya ivanovna yepanchin,Books/The_Idiot/character_3_list_cleaned.txt,
ivan fyodorovitch yepanchin,Books/The_Idiot/character_5_list_cleaned.txt,
parfyon semyonovich rogozhin,Books/The_Idiot/character_2_list_cleaned.txt,Books/The_Idiot/character_2_analysis_cleaned.txt
prince s.,Books/The_Idiot/character_12_list_cleaned.txt,
nina alexandrovna ivolgin,Books/The_Idiot/character_16_list_cleaned.txt,
prince lev nikolayevich myshkin,Books/The_Idiot/character_0_list_cleaned.txt,Books/The_Idiot/character_0_analysis_cleaned.txt
yevgeny pavlovich radomsky,Books/The_Idiot/character_11_list_cleaned.txt,
ivan petrovitch ptitsyn,Books/The_Idiot/character_14_list_cleaned.txt,
adelaida ivanovna yepanchin,Books/The_Idiot/character_8_list_cleaned.txt,
hippolite terentyev,Books/The_Idiot/character_9_list_cleaned.txt,
ferdyshchenko,Books/The_Idiot/character_19_list_cleaned.txt,
anastassya filippovna barashkov,Books/The_Idiot/character_1_list_cleaned.txt,Books/The_Idiot/character_1_analysis_cleaned.txt
lizaveta prokofyevna yepanchin,Books/The_Idiot/character_6_list_cleaned.txt,
alexandra ivanovna yepanchin,Books/The_Idiot/character_7_list_cleaned.txt,
burdovsky,Books/The_Idiot/character_20_list_cleaned.txt,
lebedev,Books/The_Idiot/character_13_list_cleaned.txt,
gavril ardalyonovich ivolgin,Books/The_Idiot/character_4_list_cleaned.txt,
varvara ardalyonovna ivolgin (later ptitsyn),Books/The_Idiot/character_17_list_cleaned.txt,
afanassy ivanovich totsky,Books/The_Idiot/character_10_list_cleaned.txt,
