characterName,listFile,analysisFile
andromache,Books/The_Iliad/character_21_list_cleaned.txt,
agenor,Books/The_Iliad/character_25_list_cleaned.txt,
iris,Books/The_Iliad/character_44_list_cleaned.txt,
chryseis,Books/The_Iliad/character_30_list_cleaned.txt,
polydamas,Books/The_Iliad/character_23_list_cleaned.txt,
little ajax,Books/The_Iliad/character_6_list_cleaned.txt,
great ajax,Books/The_Iliad/character_5_list_cleaned.txt,
patroclus,Books/The_Iliad/character_2_list_cleaned.txt,
"agamemnon (also called ""atrides"")",Books/The_Iliad/character_1_list_cleaned.txt,
pandarus,Books/The_Iliad/character_27_list_cleaned.txt,
glaucus,Books/The_Iliad/character_24_list_cleaned.txt,
calchas,Books/The_Iliad/character_11_list_cleaned.txt,
hector,Books/The_Iliad/character_15_list_cleaned.txt,Books/The_Iliad/character_15_analysis_cleaned.txt
ares,Books/The_Iliad/character_42_list_cleaned.txt,
nestor,Books/The_Iliad/character_7_list_cleaned.txt,
hera,Books/The_Iliad/character_34_list_cleaned.txt,
athena,Books/The_Iliad/character_35_list_cleaned.txt,
aeneas,Books/The_Iliad/character_20_list_cleaned.txt,
machaon,Books/The_Iliad/character_10_list_cleaned.txt,
antenor,Books/The_Iliad/character_28_list_cleaned.txt,
phoenix,Books/The_Iliad/character_13_list_cleaned.txt,
"diomedes (also called ""tydides"")",Books/The_Iliad/character_4_list_cleaned.txt,
the myrmidons,Books/The_Iliad/character_14_list_cleaned.txt,
hephaestus,Books/The_Iliad/character_40_list_cleaned.txt,
briseis,Books/The_Iliad/character_31_list_cleaned.txt,
zeus,Books/The_Iliad/character_33_list_cleaned.txt,
priam,Books/The_Iliad/character_16_list_cleaned.txt,
poseidon,Books/The_Iliad/character_39_list_cleaned.txt,
menelaus,Books/The_Iliad/character_8_list_cleaned.txt,
helen,Books/The_Iliad/character_19_list_cleaned.txt,
achilles,Books/The_Iliad/character_0_list_cleaned.txt,Books/The_Iliad/character_0_analysis_cleaned.txt
apollo,Books/The_Iliad/character_37_list_cleaned.txt,
hermes,Books/The_Iliad/character_43_list_cleaned.txt,
idomeneus,Books/The_Iliad/character_9_list_cleaned.txt,
aphrodite,Books/The_Iliad/character_38_list_cleaned.txt,
"paris (also known as ""alexander"")",Books/The_Iliad/character_18_list_cleaned.txt,
astyanax,Books/The_Iliad/character_22_list_cleaned.txt,
thetis,Books/The_Iliad/character_36_list_cleaned.txt,
sarpedon,Books/The_Iliad/character_29_list_cleaned.txt,
dolon,Books/The_Iliad/character_26_list_cleaned.txt,
hecuba,Books/The_Iliad/character_17_list_cleaned.txt,
artemis,Books/The_Iliad/character_41_list_cleaned.txt,
chryses,Books/The_Iliad/character_32_list_cleaned.txt,
peleus,Books/The_Iliad/character_12_list_cleaned.txt,
odysseus,Books/The_Iliad/character_3_list_cleaned.txt,
