characterName,listFile,analysisFile
ferneze,Books/The_Jew_of_Malta/character_3_list_cleaned.txt,Books/The_Jew_of_Malta/character_3_analysis_cleaned.txt
don mathias,Books/The_Jew_of_Malta/character_6_list_cleaned.txt,
friar bernardine,Books/The_Jew_of_Malta/character_9_list_cleaned.txt,
barabas,Books/The_Jew_of_Malta/character_0_list_cleaned.txt,Books/The_Jew_of_Malta/character_0_analysis_cleaned.txt
abigail,Books/The_Jew_of_Malta/character_1_list_cleaned.txt,Books/The_Jew_of_Malta/character_1_analysis_cleaned.txt
don lodowick,Books/The_Jew_of_Malta/character_7_list_cleaned.txt,
katherine,Books/The_Jew_of_Malta/character_12_list_cleaned.txt,
selim-calymath,Books/The_Jew_of_Malta/character_5_list_cleaned.txt,
friar jacomo,Books/The_Jew_of_Malta/character_8_list_cleaned.txt,
bellamira,Books/The_Jew_of_Malta/character_10_list_cleaned.txt,
ithamore,Books/The_Jew_of_Malta/character_2_list_cleaned.txt,Books/The_Jew_of_Malta/character_2_analysis_cleaned.txt
pilia-borza,Books/The_Jew_of_Malta/character_11_list_cleaned.txt,
martin del bosco,Books/The_Jew_of_Malta/character_13_list_cleaned.txt,
machevill,Books/The_Jew_of_Malta/character_4_list_cleaned.txt,
