characterName,listFile,analysisFile
grandmother majauszkiene,Books/The_Jungle/character_7_list_cleaned.txt,
miss henderson,Books/The_Jungle/character_13_list_cleaned.txt,
phil connor,Books/The_Jungle/character_4_list_cleaned.txt,
antanas rudkus,Books/The_Jungle/character_6_list_cleaned.txt,
juozapas lukoszaite,Books/The_Jungle/character_8_list_cleaned.txt,
teta elzbieta lukoszaite,Books/The_Jungle/character_2_list_cleaned.txt,Books/The_Jungle/character_2_analysis_cleaned.txt
mike scully,Books/The_Jungle/character_17_list_cleaned.txt,
dede antanas rudku,Books/The_Jungle/character_5_list_cleaned.txt,
jurgis rudkus,Books/The_Jungle/character_0_list_cleaned.txt,
jokubas szedvilas,Books/The_Jungle/character_18_list_cleaned.txt,
tommy hinds,Books/The_Jungle/character_14_list_cleaned.txt,
nicholas schliemann,Books/The_Jungle/character_16_list_cleaned.txt,
jonas,Books/The_Jungle/character_11_list_cleaned.txt,
ona lukoszaite,Books/The_Jungle/character_1_list_cleaned.txt,Books/The_Jungle/character_1_analysis_cleaned.txt
marija berczynskas,Books/The_Jungle/character_3_list_cleaned.txt,
stanislovas lukoszaite,Books/The_Jungle/character_10_list_cleaned.txt,
ostrinski,Books/The_Jungle/character_15_list_cleaned.txt,
jack duane,Books/The_Jungle/character_12_list_cleaned.txt,
kotrina lukoszaite,Books/The_Jungle/character_9_list_cleaned.txt,
