characterName,listFile,analysisFile
portia,Books/The_Merchant_of_Venice/character_1_list.txt,Books/The_Merchant_of_Venice/character_1_list.txt
salarino,Books/The_Merchant_of_Venice/character_11_list.txt,
solanio,Books/The_Merchant_of_Venice/character_12_list.txt,
jessica,Books/The_Merchant_of_Venice/character_5_list.txt,
the prince of morocco,Books/The_Merchant_of_Venice/character_9_list.txt,
the duke of venice,Books/The_Merchant_of_Venice/character_13_list.txt,
launcelot gobbo,Books/The_Merchant_of_Venice/character_8_list.txt,
gratiano,Books/The_Merchant_of_Venice/character_4_list.txt,
the prince of arragon,Books/The_Merchant_of_Venice/character_10_list.txt,
old gobbo,Books/The_Merchant_of_Venice/character_14_list.txt,
bassanio,Books/The_Merchant_of_Venice/character_3_list.txt,
balthasar,Books/The_Merchant_of_Venice/character_17_list.txt,
tubal,Books/The_Merchant_of_Venice/character_15_list.txt,
shylock,Books/The_Merchant_of_Venice/character_0_list.txt,Books/The_Merchant_of_Venice/character_0_list.txt
doctor bellario,Books/The_Merchant_of_Venice/character_16_list.txt,
antonio,Books/The_Merchant_of_Venice/character_2_list.txt,Books/The_Merchant_of_Venice/character_2_list.txt
nerissa,Books/The_Merchant_of_Venice/character_7_list.txt,
lorenzo,Books/The_Merchant_of_Venice/character_6_list.txt,
