characterName,listFile,analysisFile
slender,Books/The_Merry_Wives_of_Windsor/character_9_list_cleaned.txt,
mistress quickly,Books/The_Merry_Wives_of_Windsor/character_11_list_cleaned.txt,
caius,Books/The_Merry_Wives_of_Windsor/character_6_list_cleaned.txt,
nim,Books/The_Merry_Wives_of_Windsor/character_13_list_cleaned.txt,
bardolph,Books/The_Merry_Wives_of_Windsor/character_12_list_cleaned.txt,
shallow,Books/The_Merry_Wives_of_Windsor/character_10_list_cleaned.txt,
mistress page,Books/The_Merry_Wives_of_Windsor/character_1_list_cleaned.txt,
ford,Books/The_Merry_Wives_of_Windsor/character_3_list_cleaned.txt,
william page,Books/The_Merry_Wives_of_Windsor/character_16_list_cleaned.txt,
falstaff,Books/The_Merry_Wives_of_Windsor/character_2_list_cleaned.txt,
host,Books/The_Merry_Wives_of_Windsor/character_15_list_cleaned.txt,
fenton,Books/The_Merry_Wives_of_Windsor/character_8_list_cleaned.txt,
anne page,Books/The_Merry_Wives_of_Windsor/character_7_list_cleaned.txt,
sir hugh evans,Books/The_Merry_Wives_of_Windsor/character_5_list_cleaned.txt,
mistress ford,Books/The_Merry_Wives_of_Windsor/character_0_list_cleaned.txt,
pistol,Books/The_Merry_Wives_of_Windsor/character_14_list_cleaned.txt,
page,Books/The_Merry_Wives_of_Windsor/character_4_list_cleaned.txt,
simple,Books/The_Merry_Wives_of_Windsor/character_17_list_cleaned.txt,
