characterName,listFile,analysisFile
julien sorel,Books/The_Red_and_the_Black/character_0_list_cleaned.txt,
marquis de la mole,Books/The_Red_and_the_Black/character_5_list_cleaned.txt,
fouque,Books/The_Red_and_the_Black/character_11_list_cleaned.txt,
m. de renal,Books/The_Red_and_the_Black/character_4_list_cleaned.txt,
elisa,Books/The_Red_and_the_Black/character_10_list_cleaned.txt,
m. chelan,Books/The_Red_and_the_Black/character_6_list_cleaned.txt,
mme. de fervaques,Books/The_Red_and_the_Black/character_9_list_cleaned.txt,
mme. de renal,Books/The_Red_and_the_Black/character_1_list_cleaned.txt,
m. pirard,Books/The_Red_and_the_Black/character_7_list_cleaned.txt,
mathilde de la mole,Books/The_Red_and_the_Black/character_2_list_cleaned.txt,
m. valenod,Books/The_Red_and_the_Black/character_8_list_cleaned.txt,
napoleon,Books/The_Red_and_the_Black/character_3_list_cleaned.txt,
