characterName,listFile,analysisFile
kallipolis,Books/The_Republic/character_14_list.txt,
hesiod,Books/The_Republic/character_10_list.txt,
imagination,Books/The_Republic/character_11_list.txt,
visible realm,Books/The_Republic/character_30_list.txt,
appetite,Books/The_Republic/character_1_list.txt,
philosopher-king,Books/The_Republic/character_19_list.txt,
metaphysics,Books/The_Republic/character_17_list.txt,
epistemology,Books/The_Republic/character_6_list.txt,
instrumental reason,Books/The_Republic/character_12_list.txt,
knowledge,Books/The_Republic/character_15_list.txt,
form of the good,Books/The_Republic/character_8_list.txt,
belief,Books/The_Republic/character_3_list.txt,
form,Books/The_Republic/character_7_list.txt,
guardian,Books/The_Republic/character_9_list.txt,
aporia,Books/The_Republic/character_0_list.txt,
sophist,Books/The_Republic/character_24_list.txt,
pleonexia,Books/The_Republic/character_20_list.txt,
understanding,Books/The_Republic/character_29_list.txt,
producers,Books/The_Republic/character_21_list.txt,
reason,Books/The_Republic/character_22_list.txt,
intelligible realm,Books/The_Republic/character_13_list.txt,
sensible particular,Books/The_Republic/character_23_list.txt,
spirit,Books/The_Republic/character_26_list.txt,
specialization,Books/The_Republic/character_25_list.txt,
elenchus,Books/The_Republic/character_4_list.txt,
auxiliary,Books/The_Republic/character_2_list.txt,
empirical,Books/The_Republic/character_5_list.txt,
thought,Books/The_Republic/character_27_list.txt,
lover of sights and sounds,Books/The_Republic/character_16_list.txt,
opinion,Books/The_Republic/character_18_list.txt,
tripartite soul,Books/The_Republic/character_28_list.txt,
