characterName,listFile,analysisFile
lotho,Books/The_Return_of_the_King/character_30_list.txt,
eowyn,Books/The_Return_of_the_King/character_18_list.txt,
frodo baggins,Books/The_Return_of_the_King/character_0_list.txt,Books/The_Return_of_the_King/character_0_analysis.txt
elrond halfelven,Books/The_Return_of_the_King/character_24_list.txt,
shadowfax,Books/The_Return_of_the_King/character_34_list.txt,
rosie cotton,Books/The_Return_of_the_King/character_32_list.txt,
treebeard,Books/The_Return_of_the_King/character_35_list.txt,
meriadoc (merry) brandybuck,Books/The_Return_of_the_King/character_7_list.txt,
shagrat and snaga,Books/The_Return_of_the_King/character_14_list.txt,
"gwaihir, the windlord",Books/The_Return_of_the_King/character_33_list.txt,
gimli,Books/The_Return_of_the_King/character_4_list.txt,
legolas,Books/The_Return_of_the_King/character_3_list.txt,
gandalf the white,Books/The_Return_of_the_King/character_2_list.txt,Books/The_Return_of_the_King/character_2_analysis.txt
the lord of the nazgul,Books/The_Return_of_the_King/character_9_list.txt,
beregond,Books/The_Return_of_the_King/character_20_list.txt,
eomer,Books/The_Return_of_the_King/character_19_list.txt,
gollum (smeagol),Books/The_Return_of_the_King/character_10_list.txt,
saruman the white,Books/The_Return_of_the_King/character_12_list.txt,
peregrin (pippin) took,Books/The_Return_of_the_King/character_6_list.txt,
aragorn,Books/The_Return_of_the_King/character_5_list.txt,Books/The_Return_of_the_King/character_5_analysis.txt
the shirrifs,Books/The_Return_of_the_King/character_29_list.txt,
celeborn and galadriel,Books/The_Return_of_the_King/character_27_list.txt,
arwen evenstar,Books/The_Return_of_the_King/character_25_list.txt,
imrahil,Books/The_Return_of_the_King/character_22_list.txt,
sauron,Books/The_Return_of_the_King/character_8_list.txt,
barliman butterbur,Books/The_Return_of_the_King/character_23_list.txt,
bergil,Books/The_Return_of_the_King/character_21_list.txt,
elladan and elrohir,Books/The_Return_of_the_King/character_26_list.txt,
denethor,Books/The_Return_of_the_King/character_15_list.txt,
farmer tom cotton,Books/The_Return_of_the_King/character_31_list.txt,
the lieutenant of the dark tower,Books/The_Return_of_the_King/character_11_list.txt,
samwise (sam) gamgee,Books/The_Return_of_the_King/character_1_list.txt,
bilbo baggins,Books/The_Return_of_the_King/character_28_list.txt,
grima wormtongue,Books/The_Return_of_the_King/character_13_list.txt,
theoden,Books/The_Return_of_the_King/character_17_list.txt,
faramir,Books/The_Return_of_the_King/character_16_list.txt,
