characterName,listFile,analysisFile
charley,Books/The_Return_of_the_Native/character_9_list.txt,
johnny nonsuch,Books/The_Return_of_the_Native/character_8_list.txt,
local laborers,Books/The_Return_of_the_Native/character_10_list.txt,
diggory venn,Books/The_Return_of_the_Native/character_1_list.txt,
damon wildeve,Books/The_Return_of_the_Native/character_3_list.txt,
eustacia vye,Books/The_Return_of_the_Native/character_2_list.txt,
mrs. yeobright,Books/The_Return_of_the_Native/character_5_list.txt,
thomasin yeobright,Books/The_Return_of_the_Native/character_4_list.txt,
christian cantle,Books/The_Return_of_the_Native/character_6_list.txt,
captain vye,Books/The_Return_of_the_Native/character_7_list.txt,
clym yeobright,Books/The_Return_of_the_Native/character_0_list.txt,
