characterName,listFile,analysisFile
sorin,Books/The_Seagull/character_4_list_cleaned.txt,
ilya afanasyevich shamrayev,Books/The_Seagull/character_7_list_cleaned.txt,
irina nikolayevna arkadina,Books/The_Seagull/character_1_list_cleaned.txt,
masha,Books/The_Seagull/character_6_list_cleaned.txt,
nina mikhailovna zarechnaya,Books/The_Seagull/character_2_list_cleaned.txt,
yevgeny sergeyevich dorn,Books/The_Seagull/character_5_list_cleaned.txt,
konstantin gavrilovich treplev,Books/The_Seagull/character_0_list_cleaned.txt,
semyon semyonovich medvedenko,Books/The_Seagull/character_8_list_cleaned.txt,
boris alexeyevich trigorin,Books/The_Seagull/character_3_list_cleaned.txt,
paulina andryevna,Books/The_Seagull/character_9_list_cleaned.txt,
the watchman,Books/The_Seagull/character_13_list_cleaned.txt,
yakov,Books/The_Seagull/character_10_list_cleaned.txt,
the maid,Books/The_Seagull/character_12_list_cleaned.txt,
the cook,Books/The_Seagull/character_11_list_cleaned.txt,
