characterName,listFile,analysisFile
susan sowerby,Books/The_Secret_Garden/character_7_list.txt,
dr. craven,Books/The_Secret_Garden/character_9_list.txt,
colin craven,Books/The_Secret_Garden/character_1_list.txt,Books/The_Secret_Garden/character_1_analysis.txt
dickon sowerby,Books/The_Secret_Garden/character_2_list.txt,Books/The_Secret_Garden/character_2_analysis.txt
lilias craven,Books/The_Secret_Garden/character_6_list.txt,
mrs. medlock,Books/The_Secret_Garden/character_8_list.txt,
mary lennox,Books/The_Secret_Garden/character_0_list.txt,Books/The_Secret_Garden/character_0_analysis.txt
ben weatherstaff,Books/The_Secret_Garden/character_4_list.txt,
martha sowerby,Books/The_Secret_Garden/character_3_list.txt,
archibald craven,Books/The_Secret_Garden/character_5_list.txt,
