characterName,listFile,analysisFile
neil,Books/The_Secret_Life_of_Bees/character_8_list_cleaned.txt,
june boatwright,Books/The_Secret_Life_of_Bees/character_6_list_cleaned.txt,
franklin posey,Books/The_Secret_Life_of_Bees/character_20_list_cleaned.txt,
violet,Books/The_Secret_Life_of_Bees/character_11_list_cleaned.txt,
becca forrest,Books/The_Secret_Life_of_Bees/character_23_list_cleaned.txt,
otis hill,Books/The_Secret_Life_of_Bees/character_16_list_cleaned.txt,
brother gerald,Books/The_Secret_Life_of_Bees/character_19_list_cleaned.txt,
miss lacy,Books/The_Secret_Life_of_Bees/character_22_list_cleaned.txt,
may boatwright,Books/The_Secret_Life_of_Bees/character_7_list_cleaned.txt,
avery gatson,Books/The_Secret_Life_of_Bees/character_21_list_cleaned.txt,
mabelee,Books/The_Secret_Life_of_Bees/character_14_list_cleaned.txt,
lily melissa owens,Books/The_Secret_Life_of_Bees/character_0_list_cleaned.txt,
aunt bernie,Books/The_Secret_Life_of_Bees/character_26_list_cleaned.txt,
lunelle,Books/The_Secret_Life_of_Bees/character_12_list_cleaned.txt,
deborah fontanel,Books/The_Secret_Life_of_Bees/character_3_list_cleaned.txt,
august boatwright,Books/The_Secret_Life_of_Bees/character_1_list_cleaned.txt,Books/The_Secret_Life_of_Bees/character_1_analysis_cleaned.txt
sugar-girl,Books/The_Secret_Life_of_Bees/character_15_list_cleaned.txt,
rosaleen daise,Books/The_Secret_Life_of_Bees/character_2_list_cleaned.txt,
zachary taylor,Books/The_Secret_Life_of_Bees/character_4_list_cleaned.txt,
april boatwright,Books/The_Secret_Life_of_Bees/character_18_list_cleaned.txt,
cressie,Books/The_Secret_Life_of_Bees/character_13_list_cleaned.txt,
clayton forrest,Books/The_Secret_Life_of_Bees/character_17_list_cleaned.txt,
terrence ray (t. ray) owens,Books/The_Secret_Life_of_Bees/character_5_list_cleaned.txt,
the daughters of mary,Books/The_Secret_Life_of_Bees/character_9_list_cleaned.txt,
frogman general store clerk,Books/The_Secret_Life_of_Bees/character_27_list_cleaned.txt,
rose campbell,Books/The_Secret_Life_of_Bees/character_25_list_cleaned.txt,
queenie,Books/The_Secret_Life_of_Bees/character_10_list_cleaned.txt,
mrs. gatson,Books/The_Secret_Life_of_Bees/character_24_list_cleaned.txt,
