characterName,listFile,analysisFile
julio,Books/The_Sound_and_the_Fury/character_24_list_cleaned.txt,
shreve mackenzie,Books/The_Sound_and_the_Fury/character_19_list_cleaned.txt,
jason compson iv,Books/The_Sound_and_the_Fury/character_4_list_cleaned.txt,Books/The_Sound_and_the_Fury/character_4_analysis_cleaned.txt
sydney herbert head,Books/The_Sound_and_the_Fury/character_25_list_cleaned.txt,
miss quentin,Books/The_Sound_and_the_Fury/character_6_list_cleaned.txt,Books/The_Sound_and_the_Fury/character_6_analysis_cleaned.txt
caroline compson,Books/The_Sound_and_the_Fury/character_1_list_cleaned.txt,
dalton ames,Books/The_Sound_and_the_Fury/character_18_list_cleaned.txt,
uncle job,Books/The_Sound_and_the_Fury/character_28_list_cleaned.txt,
gerald bland,Books/The_Sound_and_the_Fury/character_21_list_cleaned.txt,
the man with the red tie,Books/The_Sound_and_the_Fury/character_13_list_cleaned.txt,
lorraine,Books/The_Sound_and_the_Fury/character_26_list_cleaned.txt,
caddy compson,Books/The_Sound_and_the_Fury/character_3_list_cleaned.txt,
spoade,Books/The_Sound_and_the_Fury/character_20_list_cleaned.txt,
dilsey,Books/The_Sound_and_the_Fury/character_7_list_cleaned.txt,Books/The_Sound_and_the_Fury/character_7_analysis_cleaned.txt
uncle maury bascomb,Books/The_Sound_and_the_Fury/character_15_list_cleaned.txt,
mr. and mrs. patterson,Books/The_Sound_and_the_Fury/character_16_list_cleaned.txt,
reverend shegog,Books/The_Sound_and_the_Fury/character_29_list_cleaned.txt,
frony,Books/The_Sound_and_the_Fury/character_11_list_cleaned.txt,
benjy compson,Books/The_Sound_and_the_Fury/character_5_list_cleaned.txt,Books/The_Sound_and_the_Fury/character_5_analysis_cleaned.txt
t.p.,Books/The_Sound_and_the_Fury/character_9_list_cleaned.txt,
versh,Books/The_Sound_and_the_Fury/character_10_list_cleaned.txt,
damuddy,Books/The_Sound_and_the_Fury/character_14_list_cleaned.txt,
earl,Books/The_Sound_and_the_Fury/character_27_list_cleaned.txt,
roskus,Books/The_Sound_and_the_Fury/character_8_list_cleaned.txt,
charlie,Books/The_Sound_and_the_Fury/character_17_list_cleaned.txt,
quentin compson,Books/The_Sound_and_the_Fury/character_2_list_cleaned.txt,Books/The_Sound_and_the_Fury/character_2_analysis_cleaned.txt
deacon,Books/The_Sound_and_the_Fury/character_23_list_cleaned.txt,
jason compson iii,Books/The_Sound_and_the_Fury/character_0_list_cleaned.txt,
luster,Books/The_Sound_and_the_Fury/character_12_list_cleaned.txt,
mrs. bland,Books/The_Sound_and_the_Fury/character_22_list_cleaned.txt,
