characterName,listFile,analysisFile
onux,Books/The_Sovereignty_and_Goodness_of_God/character_13_list_cleaned.txt,
mary thurston,Books/The_Sovereignty_and_Goodness_of_God/character_10_list_cleaned.txt,
wettimore,Books/The_Sovereignty_and_Goodness_of_God/character_12_list_cleaned.txt,Books/The_Sovereignty_and_Goodness_of_God/character_12_analysis_cleaned.txt
tom and peter,Books/The_Sovereignty_and_Goodness_of_God/character_11_list_cleaned.txt,
john gilbert,Books/The_Sovereignty_and_Goodness_of_God/character_7_list_cleaned.txt,
king philip,Books/The_Sovereignty_and_Goodness_of_God/character_5_list_cleaned.txt,Books/The_Sovereignty_and_Goodness_of_God/character_5_analysis_cleaned.txt
mary rowlandson (daughter),Books/The_Sovereignty_and_Goodness_of_God/character_3_list_cleaned.txt,
quannopin,Books/The_Sovereignty_and_Goodness_of_God/character_14_list_cleaned.txt,
thomas read,Books/The_Sovereignty_and_Goodness_of_God/character_9_list_cleaned.txt,
mary rowlandson,Books/The_Sovereignty_and_Goodness_of_God/character_0_list_cleaned.txt,Books/The_Sovereignty_and_Goodness_of_God/character_0_analysis_cleaned.txt
sarah rowlandson,Books/The_Sovereignty_and_Goodness_of_God/character_4_list_cleaned.txt,
joseph rowlandson (son),Books/The_Sovereignty_and_Goodness_of_God/character_2_list_cleaned.txt,
reverend joseph rowlandson,Books/The_Sovereignty_and_Goodness_of_God/character_1_list_cleaned.txt,
thomas shepard,Books/The_Sovereignty_and_Goodness_of_God/character_15_list_cleaned.txt,
john hoar,Books/The_Sovereignty_and_Goodness_of_God/character_8_list_cleaned.txt,
robert pepper,Books/The_Sovereignty_and_Goodness_of_God/character_6_list_cleaned.txt,
