characterName,listFile,analysisFile
jake barnes,Books/The_Sun_Also_Rises/character_0_list.txt,Books/The_Sun_Also_Rises/character_0_analysis.txt
lady brett ashley,Books/The_Sun_Also_Rises/character_1_list.txt,Books/The_Sun_Also_Rises/character_1_analysis.txt
harvey stone,Books/The_Sun_Also_Rises/character_12_list.txt,
belmonte,Books/The_Sun_Also_Rises/character_11_list.txt,
mike campbell,Books/The_Sun_Also_Rises/character_4_list.txt,
wilson-harris,Books/The_Sun_Also_Rises/character_9_list.txt,
count mippipopolous,Books/The_Sun_Also_Rises/character_8_list.txt,
frances clyne,Books/The_Sun_Also_Rises/character_7_list.txt,
pedro romero,Books/The_Sun_Also_Rises/character_5_list.txt,
bill gorton,Books/The_Sun_Also_Rises/character_3_list.txt,
robert cohn,Books/The_Sun_Also_Rises/character_2_list.txt,Books/The_Sun_Also_Rises/character_2_analysis.txt
montoya,Books/The_Sun_Also_Rises/character_6_list.txt,
georgette,Books/The_Sun_Also_Rises/character_10_list.txt,
