characterName,listFile,analysisFile
grumio,Books/The_Taming_of_the_Shrew/character_7_list.txt,
tranio,Books/The_Taming_of_the_Shrew/character_5_list.txt,
baptista,Books/The_Taming_of_the_Shrew/character_3_list.txt,
bianca,Books/The_Taming_of_the_Shrew/character_2_list.txt,
lucentio,Books/The_Taming_of_the_Shrew/character_4_list.txt,Books/The_Taming_of_the_Shrew/character_4_list.txt
katherine,Books/The_Taming_of_the_Shrew/character_0_list.txt,Books/The_Taming_of_the_Shrew/character_0_list.txt
biondello,Books/The_Taming_of_the_Shrew/character_8_list.txt,
christopher sly,Books/The_Taming_of_the_Shrew/character_9_list.txt,
petruchio,Books/The_Taming_of_the_Shrew/character_1_list.txt,Books/The_Taming_of_the_Shrew/character_1_list.txt
gremio and hortensio,Books/The_Taming_of_the_Shrew/character_6_list.txt,
