characterName,listFile,analysisFile
gonzalo,Books/The_Tempest/character_8_list.txt,
prospero,Books/The_Tempest/character_0_list.txt,Books/The_Tempest/character_0_list.txt
caliban,Books/The_Tempest/character_3_list.txt,Books/The_Tempest/character_3_list.txt
antonio,Books/The_Tempest/character_6_list.txt,
alonso,Books/The_Tempest/character_5_list.txt,
ariel,Books/The_Tempest/character_2_list.txt,
trinculo & stephano,Books/The_Tempest/character_9_list.txt,
miranda,Books/The_Tempest/character_1_list.txt,Books/The_Tempest/character_1_list.txt
boatswain,Books/The_Tempest/character_10_list.txt,
ferdinand,Books/The_Tempest/character_4_list.txt,
sebastian,Books/The_Tempest/character_7_list.txt,
