characterName,listFile,analysisFile
mitchell sanders,Books/The_Things_They_Carried/character_2_list.txt,Books/The_Things_They_Carried/character_2_analysis.txt
mark fossie,Books/The_Things_They_Carried/character_16_list.txt,
curt lemon,Books/The_Things_They_Carried/character_7_list.txt,
bobby jorgenson,Books/The_Things_They_Carried/character_12_list.txt,
azar,Books/The_Things_They_Carried/character_11_list.txt,
mary anne bell,Books/The_Things_They_Carried/character_15_list.txt,
tim o'brien,Books/The_Things_They_Carried/character_0_list.txt,Books/The_Things_They_Carried/character_0_analysis.txt
henry dobbins,Books/The_Things_They_Carried/character_5_list.txt,
dave jensen,Books/The_Things_They_Carried/character_10_list.txt,
lee strunk,Books/The_Things_They_Carried/character_9_list.txt,
ted lavender,Books/The_Things_They_Carried/character_8_list.txt,
kathleen,Books/The_Things_They_Carried/character_14_list.txt,
kiowa,Books/The_Things_They_Carried/character_3_list.txt,Books/The_Things_They_Carried/character_3_analysis.txt
elroy berdahl,Books/The_Things_They_Carried/character_13_list.txt,
linda,Books/The_Things_They_Carried/character_17_list.txt,
jimmy cross,Books/The_Things_They_Carried/character_1_list.txt,Books/The_Things_They_Carried/character_1_analysis.txt
"bob ""rat"" kiley",Books/The_Things_They_Carried/character_6_list.txt,
norman bowker,Books/The_Things_They_Carried/character_4_list.txt,
