characterName,listFile,analysisFile
grimaud,Books/The_Three_Musketeers/character_18_list_cleaned.txt,
monsieur bonacieux,Books/The_Three_Musketeers/character_6_list_cleaned.txt,
queen anne,Books/The_Three_Musketeers/character_10_list_cleaned.txt,
comte de rochefort,Books/The_Three_Musketeers/character_13_list_cleaned.txt,
cardinal richelieu,Books/The_Three_Musketeers/character_9_list_cleaned.txt,
john felton,Books/The_Three_Musketeers/character_16_list_cleaned.txt,
planchet,Books/The_Three_Musketeers/character_17_list_cleaned.txt,
mousqueton,Books/The_Three_Musketeers/character_19_list_cleaned.txt,
d'artagnan,Books/The_Three_Musketeers/character_0_list_cleaned.txt,
bazin,Books/The_Three_Musketeers/character_20_list_cleaned.txt,
kitty,Books/The_Three_Musketeers/character_15_list_cleaned.txt,
madame de coquenard,Books/The_Three_Musketeers/character_21_list_cleaned.txt,
athos,Books/The_Three_Musketeers/character_1_list_cleaned.txt,
madame de chevreuse,Books/The_Three_Musketeers/character_22_list_cleaned.txt,
madame bonacieux,Books/The_Three_Musketeers/character_5_list_cleaned.txt,
aramis,Books/The_Three_Musketeers/character_2_list_cleaned.txt,
king louis xiii,Books/The_Three_Musketeers/character_8_list_cleaned.txt,
comte de wardes,Books/The_Three_Musketeers/character_14_list_cleaned.txt,
porthos,Books/The_Three_Musketeers/character_3_list_cleaned.txt,
lord de winter,Books/The_Three_Musketeers/character_12_list_cleaned.txt,
"george villiers, the duke of buckingham",Books/The_Three_Musketeers/character_11_list_cleaned.txt,
lady de winter,Books/The_Three_Musketeers/character_4_list_cleaned.txt,
monsieur de treville,Books/The_Three_Musketeers/character_7_list_cleaned.txt,
