characterName,listFile,analysisFile
miss jessel,Books/The_Turn_of_the_Screw/character_6_list.txt,
griffin,Books/The_Turn_of_the_Screw/character_10_list.txt,
flora,Books/The_Turn_of_the_Screw/character_3_list.txt,Books/The_Turn_of_the_Screw/character_3_analysis.txt
the governess,Books/The_Turn_of_the_Screw/character_0_list.txt,Books/The_Turn_of_the_Screw/character_0_analysis.txt
peter quint,Books/The_Turn_of_the_Screw/character_5_list.txt,
luke,Books/The_Turn_of_the_Screw/character_7_list.txt,
the children's uncle,Books/The_Turn_of_the_Screw/character_4_list.txt,
douglas,Books/The_Turn_of_the_Screw/character_9_list.txt,
anonymous narrator,Books/The_Turn_of_the_Screw/character_8_list.txt,
miles,Books/The_Turn_of_the_Screw/character_2_list.txt,Books/The_Turn_of_the_Screw/character_2_analysis.txt
mrs. grose,Books/The_Turn_of_the_Screw/character_1_list.txt,Books/The_Turn_of_the_Screw/character_1_analysis.txt
women at the gathering,Books/The_Turn_of_the_Screw/character_11_list.txt,
