characterName,listFile,analysisFile
sir eglamour,Books/The_Two_Gentlemen_of_Verona/character_9_list.txt,
silvia,Books/The_Two_Gentlemen_of_Verona/character_3_list.txt,
julia,Books/The_Two_Gentlemen_of_Verona/character_2_list.txt,
valentine,Books/The_Two_Gentlemen_of_Verona/character_1_list.txt,
outlaws,Books/The_Two_Gentlemen_of_Verona/character_12_list.txt,
host,Books/The_Two_Gentlemen_of_Verona/character_11_list.txt,
proteus,Books/The_Two_Gentlemen_of_Verona/character_0_list.txt,
crab,Books/The_Two_Gentlemen_of_Verona/character_13_list.txt,
panthino,Books/The_Two_Gentlemen_of_Verona/character_14_list.txt,
lucetta,Books/The_Two_Gentlemen_of_Verona/character_5_list.txt,
duke of milan,Books/The_Two_Gentlemen_of_Verona/character_4_list.txt,
antonio,Books/The_Two_Gentlemen_of_Verona/character_10_list.txt,
speed,Books/The_Two_Gentlemen_of_Verona/character_7_list.txt,
launce,Books/The_Two_Gentlemen_of_Verona/character_6_list.txt,
thurio,Books/The_Two_Gentlemen_of_Verona/character_8_list.txt,
