characterName,listFile,analysisFile
frodo baggins,Books/The_Two_Towers/character_0_list.txt,Books/The_Two_Towers/character_0_analysis.txt
shadowfax,Books/The_Two_Towers/character_27_list.txt,
hama,Books/The_Two_Towers/character_24_list.txt,
mablung and damrod,Books/The_Two_Towers/character_23_list.txt,
meriadoc (merry) brandybuck,Books/The_Two_Towers/character_8_list.txt,
the nazgul,Books/The_Two_Towers/character_10_list.txt,
the uruk-hai,Books/The_Two_Towers/character_16_list.txt,
gimli,Books/The_Two_Towers/character_4_list.txt,
legolas,Books/The_Two_Towers/character_3_list.txt,
ugluk,Books/The_Two_Towers/character_17_list.txt,
gandalf the white,Books/The_Two_Towers/character_2_list.txt,Books/The_Two_Towers/character_2_analysis.txt
eomer,Books/The_Two_Towers/character_19_list.txt,
fangorn,Books/The_Two_Towers/character_25_list.txt,
bregalad,Books/The_Two_Towers/character_26_list.txt,
gollum (smeagol),Books/The_Two_Towers/character_13_list.txt,
saruman the white,Books/The_Two_Towers/character_11_list.txt,
faramir,Books/The_Two_Towers/character_22_list.txt,
peregrin (pippin) took,Books/The_Two_Towers/character_7_list.txt,
aragorn,Books/The_Two_Towers/character_5_list.txt,
grima wormtongue,Books/The_Two_Towers/character_12_list.txt,
sauron,Books/The_Two_Towers/character_9_list.txt,
shelob,Books/The_Two_Towers/character_14_list.txt,
orcs,Books/The_Two_Towers/character_15_list.txt,
samwise (sam) gamgee,Books/The_Two_Towers/character_1_list.txt,
gorbag and shagrat,Books/The_Two_Towers/character_18_list.txt,
boromir,Books/The_Two_Towers/character_6_list.txt,
theoden,Books/The_Two_Towers/character_20_list.txt,
eowyn,Books/The_Two_Towers/character_21_list.txt,
