characterName,listFile,analysisFile
drusilla,Books/The_Unvanquished/character_3_list.txt,Books/The_Unvanquished/character_3_analysis.txt
bayard sartoris,Books/The_Unvanquished/character_0_list.txt,
professor wilkins,Books/The_Unvanquished/character_18_list.txt,
george wyatt,Books/The_Unvanquished/character_20_list.txt,
loosh and philadelphy,Books/The_Unvanquished/character_13_list.txt,
mrs. compson and mrs. habersham,Books/The_Unvanquished/character_9_list.txt,
uncle buck,Books/The_Unvanquished/character_7_list.txt,
grumby,Books/The_Unvanquished/character_11_list.txt,
ab snopes,Books/The_Unvanquished/character_6_list.txt,
ben redmond,Books/The_Unvanquished/character_12_list.txt,
joby,Books/The_Unvanquished/character_14_list.txt,
ringo,Books/The_Unvanquished/character_1_list.txt,
louvinia,Books/The_Unvanquished/character_5_list.txt,
brother fortinbride,Books/The_Unvanquished/character_15_list.txt,
colonel nathaniel dick,Books/The_Unvanquished/character_10_list.txt,
gavin breckbridge,Books/The_Unvanquished/character_16_list.txt,
the burdens,Books/The_Unvanquished/character_17_list.txt,
rosa millard,Books/The_Unvanquished/character_4_list.txt,
aunt jenny,Books/The_Unvanquished/character_19_list.txt,
colonel john sartoris,Books/The_Unvanquished/character_2_list.txt,
aunt louisa,Books/The_Unvanquished/character_8_list.txt,
