characterName,listFile,analysisFile
shepherd,Books/The_Winters_Tale/character_8_list_cleaned.txt,
paulina,Books/The_Winters_Tale/character_6_list_cleaned.txt,
leontes,Books/The_Winters_Tale/character_0_list_cleaned.txt,
polixenes,Books/The_Winters_Tale/character_3_list_cleaned.txt,
dion,Books/The_Winters_Tale/character_13_list_cleaned.txt,
archidamus,Books/The_Winters_Tale/character_15_list_cleaned.txt,
cleomenes,Books/The_Winters_Tale/character_12_list_cleaned.txt,
clown,Books/The_Winters_Tale/character_10_list_cleaned.txt,
hermione,Books/The_Winters_Tale/character_1_list_cleaned.txt,
autolycus,Books/The_Winters_Tale/character_7_list_cleaned.txt,
emilia,Books/The_Winters_Tale/character_14_list_cleaned.txt,
camillo,Books/The_Winters_Tale/character_5_list_cleaned.txt,
florizel,Books/The_Winters_Tale/character_4_list_cleaned.txt,
mamillius,Books/The_Winters_Tale/character_11_list_cleaned.txt,
perdita,Books/The_Winters_Tale/character_2_list_cleaned.txt,
antigonus,Books/The_Winters_Tale/character_9_list_cleaned.txt,
