characterName,listFile,analysisFile
monsignor darcy,Books/This_Side_of_Paradise/character_3_list_cleaned.txt,
amory blaine,Books/This_Side_of_Paradise/character_0_list_cleaned.txt,
thomas park d'invilliers,Books/This_Side_of_Paradise/character_5_list_cleaned.txt,
rosalind connage,Books/This_Side_of_Paradise/character_1_list_cleaned.txt,
dawson ryder,Books/This_Side_of_Paradise/character_4_list_cleaned.txt,
mr. ferrenby,Books/This_Side_of_Paradise/character_11_list_cleaned.txt,
clara page,Books/This_Side_of_Paradise/character_13_list_cleaned.txt,
alec connage,Books/This_Side_of_Paradise/character_9_list_cleaned.txt,
eleanor savage,Books/This_Side_of_Paradise/character_14_list_cleaned.txt,
jesse ferrenby,Books/This_Side_of_Paradise/character_10_list_cleaned.txt,
dick humbird,Books/This_Side_of_Paradise/character_6_list_cleaned.txt,
burne holiday,Books/This_Side_of_Paradise/character_7_list_cleaned.txt,
kerry holiday,Books/This_Side_of_Paradise/character_8_list_cleaned.txt,
beatrice blaine,Books/This_Side_of_Paradise/character_2_list_cleaned.txt,
isabelle borges,Books/This_Side_of_Paradise/character_12_list_cleaned.txt,
